lake,sed.date,B2mean,B3mean,B4mean,B2max,B3max,B4max,B2min,B3min,B4min
Lake Hoare,2016-11-02,0.48387372096212916,0.44896517283964477,0.45926646245706,0.6416497826576233,0.5768789649009705,0.5756741762161255,0.32302942872047424,0.28273677825927734,0.2779361307621002
Lake Hoare,2016-11-04,0.46169544643903737,0.42552625557920276,0.43576135338852867,0.6153690814971924,0.5477747917175293,0.5438359975814819,0.3066062331199646,0.2642236351966858,0.2618410587310791
Lake Hoare,2016-11-06,0.4624297509607453,0.4260985973797389,0.4316726539959043,0.6302094459533691,0.5663880109786987,0.5464798808097839,0.3078594505786896,0.2634582221508026,0.2535358965396881
Lake Hoare,2016-11-08,0.43053489025907227,0.3937409051737729,0.3950612671648296,0.6053448915481567,0.5475074052810669,0.5240826606750488,0.292011559009552,0.24646829068660736,0.23413652181625366
Lake Hoare,2016-11-13,0.3493985246691928,0.29621002064305263,0.2786814249276915,0.5416935682296753,0.5275792479515076,0.5384471416473389,0.22289864718914032,0.16204844415187836,0.1341530680656433
Lake Hoare,2016-11-15,0.44549885189673244,0.41659308352426394,0.41753547046108536,0.5578452944755554,0.5313768982887268,0.5435912013053894,0.30280300974845886,0.2647961378097534,0.2585415244102478
Lake Hoare,2016-12-10,0.6681440066571204,0.6359034058131627,0.6756187478867953,0.7170196175575256,0.684077262878418,0.7294366955757141,0.5716556310653687,0.5433272123336792,0.571447491645813
Lake Hoare,2016-12-13,0.5563958646767091,0.5294569912272812,0.5470865753373043,0.673045814037323,0.6478633284568787,0.6873115301132202,0.41226285696029663,0.3778022229671478,0.37135395407676697
Lake Hoare,2016-12-15,0.5161972328670473,0.48573662775674925,0.4938714941776039,0.6458013653755188,0.6198039650917053,0.6503249406814575,0.38858410716056824,0.3500109016895294,0.3397011458873749
Lake Hoare,2016-12-17,0.46501619458798593,0.43028867489739553,0.430849498475358,0.5804803967475891,0.5513561964035034,0.5710663795471191,0.37197086215019226,0.31790485978126526,0.3034220039844513
Lake Hoare,2016-12-24,0.5176183688610592,0.49045468996835234,0.4998857697734497,0.613464891910553,0.5700865983963013,0.5855633020401001,0.3592401146888733,0.3181723356246948,0.29422932863235474
Lake Hoare,2017-01-02,0.5528378981671878,0.5318990049246174,0.5476380950902533,0.6174749732017517,0.5784935355186462,0.595863938331604,0.4284864366054535,0.4000762701034546,0.4102611541748047
Lake Hoare,2017-01-11,0.5670490615419893,0.5461183603877989,0.5688386963767893,0.6339698433876038,0.6022140383720398,0.6266536712646484,0.4180229604244232,0.384991854429245,0.3944565951824188
Lake Hoare,2017-01-14,0.5316544358912331,0.517397082066976,0.5294619649398646,0.594218373298645,0.5798574090003967,0.5905358791351318,0.3848482072353363,0.3557127118110657,0.35950976610183716
Lake Hoare,2017-01-18,0.5979337553249909,0.5775533907565494,0.6104612886505639,0.654917299747467,0.6322292685508728,0.6686036586761475,0.4244394600391388,0.3967001140117645,0.40933704376220703
Lake Hoare,2017-01-25,0.5667656811341744,0.5432820414636759,0.5689338298902016,0.6327638030052185,0.6070669293403625,0.634976327419281,0.406597375869751,0.37823930382728577,0.38488757610321045
