lake,sed.date,B2mean,B3mean,B4mean,B2max,B3max,B4max,B2min,B3min,B4min
Lake Bonney,2016-11-02,0.4527588407415189,0.4105298236273365,0.3975735040222177,0.5641475915908813,0.5053118467330933,0.5088406801223755,0.28055068850517273,0.23832178115844727,0.2181888371706009
Lake Bonney,2016-11-04,0.4656488763683497,0.41816776741799405,0.40491710778487017,0.5780618786811829,0.5127967000007629,0.5149015188217163,0.2829366624355316,0.23648114502429962,0.2222646027803421
Lake Bonney,2016-11-06,0.45064399528511295,0.40464993930804205,0.3880911342157245,0.5606950521469116,0.4926005005836487,0.48997318744659424,0.2673456370830536,0.22742515802383423,0.21239614486694336
Lake Bonney,2016-11-08,0.42905215873236224,0.38244369633921627,0.3627936860929829,0.5476953983306885,0.4769108295440674,0.4591381549835205,0.2539389431476593,0.2101622372865677,0.19432604312896729
Lake Bonney,2016-11-13,0.4558271620684738,0.4102446659734866,0.3872930095224913,0.5740922093391418,0.5059192776679993,0.4893699884414673,0.2636514902114868,0.2211720496416092,0.20857566595077515
Lake Bonney,2016-11-15,0.4446471345416776,0.39876794291282985,0.37536699164118514,0.5625426173210144,0.4938676953315735,0.4733535349369049,0.2606317400932312,0.22341392934322357,0.20727188885211945
Lake Bonney,2016-11-22,0.7928137844609946,0.7300565074015498,0.7806496231084142,0.8251809477806091,0.7643782496452332,0.8232910633087158,0.7281898260116577,0.6621847748756409,0.6931621432304382
Lake Bonney,2016-11-24,0.7161755742788866,0.6639157931797568,0.7092237689135136,0.7452253699302673,0.6932340860366821,0.7463269829750061,0.6455713510513306,0.5892757177352905,0.6111987233161926
Lake Bonney,2016-11-27,0.6579550328843854,0.6187867112470059,0.6534344299145961,0.7173039317131042,0.6809450387954712,0.7291905879974365,0.5705550312995911,0.5302214622497559,0.5381991267204285
Lake Bonney,2016-12-08,0.460596087351466,0.4224548828131222,0.4010839643388209,0.56267911195755,0.5093923807144165,0.48438504338264465,0.28033292293548584,0.24853889644145966,0.22423934936523438
Lake Bonney,2016-12-10,0.4673129454043426,0.43320703871737704,0.41712275369946306,0.560268759727478,0.5055843591690063,0.4855223596096039,0.2995593249797821,0.2610708773136139,0.23363400995731354
Lake Bonney,2016-12-13,0.5044716450397748,0.47862901646664796,0.4756549252095615,0.6086047291755676,0.5686576962471008,0.5694124698638916,0.3869542181491852,0.3683779835700989,0.35942599177360535
Lake Bonney,2016-12-15,0.5146239781915295,0.4831886581453822,0.4781161733574705,0.638078510761261,0.5958709716796875,0.5976153612136841,0.3822174370288849,0.3505589962005615,0.33449462056159973
Lake Bonney,2016-12-24,0.5750988741636985,0.5491405648290422,0.5605608312592162,0.6615740656852722,0.6235256195068359,0.6288357973098755,0.37167680263519287,0.3446769416332245,0.3515152633190155
Lake Bonney,2017-01-02,0.582359037454033,0.5574386537094733,0.5631957878698639,0.654171347618103,0.6205694675445557,0.6176046133041382,0.34425872564315796,0.32280609011650085,0.3209874927997589
Lake Bonney,2017-01-09,0.5324651715697964,0.48426491175699754,0.4977917518598395,0.5524094700813293,0.5028956532478333,0.5175971984863281,0.5100924372673035,0.46055325865745544,0.47203925251960754
Lake Bonney,2017-01-11,0.5822352975715219,0.559063527542331,0.5757115927020591,0.6619191765785217,0.631462812423706,0.6447682976722717,0.3299010097980499,0.29672670364379883,0.2990732192993164
Lake Bonney,2017-01-14,0.5678787095282075,0.5508341921667553,0.5584926438737239,0.652564287185669,0.6312651634216309,0.6398841738700867,0.31353437900543213,0.2803897261619568,0.28424331545829773
Lake Bonney,2017-01-18,0.6084760401778225,0.5852171830663123,0.6151366423449974,0.6845136284828186,0.6539775729179382,0.6870244741439819,0.354131281375885,0.3173121213912964,0.32351624965667725
Lake Bonney,2017-01-25,0.5548309535132724,0.5283100512660215,0.542822439982862,0.6431679129600525,0.6094085574150085,0.6230872273445129,0.2998005151748657,0.27337846159935,0.2705141603946686
