sed.date,lake,sed_mean,sed_mean_bb,wateryear,ice_endmember,B2mean,month,albedo.predict.wholelake,albedo.predict.bb
2016-11-02,West Lake Bonney,0.0975763305281198,0.06350133675100755,2017,0.9364986632489924,0.4527588407415189,Nov,0.42733348398465026,0.44065880177321753
2016-11-02,East Lake Bonney,0.2614431904663134,0.3017204272526282,2017,0.6982795727473718,0.4527588407415189,Nov,0.3632519467150011,0.347501188744694
2016-11-04,West Lake Bonney,0.09968235448015794,0.06262242555920378,2017,0.9373775744407962,0.4656488763683497,Nov,0.4414782492385886,0.45597085144781135
2016-11-04,East Lake Bonney,0.2510455640731902,0.2979226143271835,2017,0.7020773856728165,0.4656488763683497,Nov,0.382286371390633,0.36395469991004503
2016-11-06,West Lake Bonney,0.10639798765657348,0.06890372292596043,2017,0.9310962770740395,0.45064399528511295,Nov,0.4214278696632201,0.4360903226060488
2016-11-06,East Lake Bonney,0.2587160511655142,0.29474043316311305,2017,0.705259566836887,0.45064399528511295,Nov,0.36186258802378135,0.3477749452968388
2016-11-08,West Lake Bonney,0.12414491298154592,0.08391559179333637,2017,0.9160844082066636,0.42905215873236224,Nov,0.38941461417432643,0.40514663434013226
2016-11-08,East Lake Bonney,0.2761498097089667,0.30591038018465044,2017,0.6940896198153496,0.42905215873236224,Nov,0.32997179908357943,0.3183336734319202
2016-11-15,West Lake Bonney,0.1302843469831905,0.09553024718365692,2017,0.9044697528163431,0.4446471345416776,Nov,0.4051231476594716,0.4187140356670707
2016-11-15,East Lake Bonney,0.2727088488278239,0.3207817095849249,2017,0.6792182904150751,0.4446471345416776,Nov,0.34942682793679875,0.3306275245301994
2016-12-10,West Lake Bonney,0.06777673675871627,0.06136820754713949,2017,0.9386317924528605,0.4673129454043426,Dec,0.4558875870298752,0.4583936971955926
2016-12-10,East Lake Bonney,0.17908570402952734,0.2279946943124135,2017,0.7720053056875865,0.4673129454043426,Dec,0.4123592632595841,0.39323298424980874
2016-12-13,West Lake Bonney,0.07952786153315303,0.04227178216887527,2017,0.9577282178311247,0.5044716450397748,Dec,0.49444214392709135,0.5090114524450152
2016-12-13,East Lake Bonney,0.21780277848215093,0.3372032087158274,2017,0.6627967912841726,0.5044716450397748,Dec,0.4403685548727399,0.39367599529774483
2016-12-15,West Lake Bonney,0.12217032661291331,0.04081555571238864,2017,0.9591844442876114,0.5146239781915295,Dec,0.4895556747248943,0.521370153781197
2016-12-15,East Lake Bonney,0.2683956438177356,0.4383843534522586,2017,0.5616156465477413,0.5146239781915295,Dec,0.43237301364405506,0.36589747468533657
2016-12-24,West Lake Bonney,0.06122942437216922,0.03800632776874951,2017,0.9619936722312505,0.5750988741636985,Dec,0.583612623833492,0.5926942144069003
2016-12-24,East Lake Bonney,0.1625974257758657,0.19641223384274376,2017,0.8035877661572562,0.5750988741636985,Dec,0.5439717997989626,0.5307482298579691
2017-01-02,West Lake Bonney,0.04894859737731636,0.03505513123075874,2017,0.9649448687692412,0.582359037454033,Jan,0.5968458926545472,0.602279051433638
2017-01-02,East Lake Bonney,0.12570707120327196,0.12464868459436627,2017,0.8753513154056337,0.582359037454033,Jan,0.5668288348852424,0.5672427260219242
2017-01-11,West Lake Bonney,0.06306768715066528,0.04528871731390745,2017,0.9547112826860925,0.5822352975715219,Jan,0.591180810903005,0.5981334291361236
2017-01-11,East Lake Bonney,0.14675181969874687,0.1431396682229307,2017,0.8568603317770693,0.5822352975715219,Jan,0.5584554150494396,0.5598679777818215
2017-01-14,West Lake Bonney,0.08010011203600272,0.06461531193129832,2017,0.9353846880687017,0.5678787095282075,Jan,0.5678487814157105,0.5739042449511498
2017-01-14,East Lake Bonney,0.11022143857843791,0.08522484893657276,2017,0.9147751510634272,0.5678787095282075,Jan,0.5560695790182986,0.5658447092145656
2017-01-18,West Lake Bonney,0.07617924558437242,0.06235964804646253,2017,0.9376403519535375,0.6084760401778225,Jan,0.6165250587987015,0.6219293306265203
2017-01-18,East Lake Bonney,0.11018530119761975,0.09197431784813052,2017,0.9080256821518695,0.6084760401778225,Jan,0.6032266998687996,0.6103482606814459
2017-01-25,West Lake Bonney,0.0856858289620954,0.0729189741784073,2017,0.9270810258215927,0.5548309535132724,Jan,0.5505129448655273,0.5555055326343152
2017-01-25,East Lake Bonney,0.14841950414501665,0.1416245062870008,2017,0.8583754937129993,0.5548309535132724,Jan,0.5259804045714576,0.5286376466071556
2017-01-27,West Lake Bonney,0.0856390563685551,0.06899321350299861,2017,0.9310067864970014,0.5454783083426114,Jan,0.5396706288080044,0.5461801280464484
2017-01-27,East Lake Bonney,0.15835393194797703,0.15131632183436994,2017,0.8486836781656301,0.5454783083426114,Jan,0.5112348547212968,0.5139869723548103
2017-01-30,West Lake Bonney,0.09988335624271467,0.08501335507894714,2017,0.9149866449210529,0.5373984564441558,Jan,0.5247176770761406,0.5305327182268351
2017-01-30,East Lake Bonney,0.1644642813892943,0.14303274361623658,2017,0.8569672563837634,0.5373984564441558,Jan,0.49946275388270256,0.5078437400507909
2017-11-07,West Lake Bonney,0.1775243559883942,0.14712860441155065,2018,0.8528713955884494,0.5157201008450918,Nov,0.46918186262731226,0.4810683812818173
2017-11-07,East Lake Bonney,0.09686224532779568,0.02089808769563845,2018,0.9791019123043615,0.5157201008450918,Nov,0.5007254709718874,0.5304319045991541
2017-11-18,West Lake Bonney,0.16931321857049805,0.14651780033574455,2018,0.8534821996642554,0.4851263126682676,Nov,0.43686635990412725,0.4457807031931764
