lake,sed.date,B2mean,B3mean,B4mean,B2max,B3max,B4max,B2min,B3min,B4min
Lake Fryxell,2016-11-02,0.565729038943998,0.5256356439185613,0.5510957815957378,0.6929116249084473,0.6455402970314026,0.6937557458877563,0.35018041729927063,0.3040091395378113,0.30084696412086487
Lake Fryxell,2016-11-04,0.5364074691964558,0.49496348420796926,0.5197467284593363,0.6639111638069153,0.6126702427864075,0.6587522625923157,0.33089059591293335,0.28357699513435364,0.27778246998786926
Lake Fryxell,2016-11-06,0.5392930592925228,0.4989122109155324,0.5194760817798783,0.6782586574554443,0.6293548345565796,0.6649717688560486,0.32907456159591675,0.277469664812088,0.2674032747745514
Lake Fryxell,2016-11-08,0.5076385284059308,0.4670310418329064,0.4829508235660764,0.6435611844062805,0.598820149898529,0.6300120949745178,0.3054557144641876,0.2554229199886322,0.24372725188732147
Lake Fryxell,2016-11-13,0.5175096529988414,0.4804129491409621,0.49274895626167353,0.6647836565971375,0.62088543176651,0.6417872905731201,0.3082594573497772,0.266236275434494,0.2585643529891968
Lake Fryxell,2016-11-15,0.5024648827912991,0.4656030253889987,0.47635232748236145,0.648260235786438,0.6027901768684387,0.6237055063247681,0.30396100878715515,0.2626074254512787,0.2572225034236908
Lake Fryxell,2016-11-22,0.8856604068734916,0.8008416156951491,0.8466970176146539,0.9015100598335266,0.8190534710884094,0.8689675331115723,0.8558962345123291,0.765537440776825,0.802945613861084
Lake Fryxell,2016-11-24,0.8571061678036517,0.7774382490361529,0.8217000473223963,0.9086126089096069,0.8380351066589355,0.8936383128166199,0.776808500289917,0.6822330951690674,0.7043729424476624
Lake Fryxell,2016-11-27,0.859997032627014,0.7952412150798539,0.8410298923763984,0.876984179019928,0.8125249147415161,0.8568829298019409,0.8194550275802612,0.754475474357605,0.7963166832923889
Lake Fryxell,2016-12-08,0.809511191746027,0.7525061796484986,0.7978284984482467,0.8406786918640137,0.7800384163856506,0.8265461921691895,0.7664369940757751,0.7107260823249817,0.7542951107025146
Lake Fryxell,2016-12-10,0.7683084721442011,0.7200064010777946,0.7605172311927261,0.8043151497840881,0.751907229423523,0.7926400303840637,0.705731987953186,0.6576444506645203,0.6960325837135315
Lake Fryxell,2016-12-13,0.7224824071146685,0.6847459947784534,0.7204091420548758,0.8025792241096497,0.7587698101997375,0.8000147938728333,0.5489968061447144,0.510631799697876,0.5217643976211548
Lake Fryxell,2016-12-15,0.7028666177565644,0.6627815702798766,0.6949600245887204,0.8078595399856567,0.7579327821731567,0.7943453192710876,0.463434100151062,0.4171880781650543,0.40600627660751343
Lake Fryxell,2016-12-17,0.6858182705548636,0.6522882852295417,0.6854383039706906,0.813092827796936,0.7701238989830017,0.8157174587249756,0.4279494881629944,0.3840928077697754,0.3826530873775482
Lake Fryxell,2016-12-19,0.6249006181529687,0.5840411198312153,0.6056481156725376,0.7484071254730225,0.6939645409584045,0.7202969193458557,0.36783096194267273,0.3241196274757385,0.3020074963569641
Lake Fryxell,2016-12-24,0.561117504330023,0.52550326539421,0.5372856188336621,0.7199002504348755,0.6678122878074646,0.6904906034469604,0.3117523789405823,0.2557588517665863,0.20824158191680908
Lake Fryxell,2017-01-02,0.5344778450944477,0.5028402857521282,0.5121841682777791,0.6557990312576294,0.6238564252853394,0.6484299302101135,0.2811194360256195,0.23023393750190735,0.19248825311660767
Lake Fryxell,2017-01-09,0.6341666571138884,0.6031660887017268,0.6335642575825782,0.6976386904716492,0.6733565330505371,0.7152310609817505,0.4572333097457886,0.419137179851532,0.42909789085388184
Lake Fryxell,2017-01-11,0.5481319127575228,0.5164291964038595,0.5305536962087882,0.6555992364883423,0.6225489974021912,0.6482604146003723,0.23047798871994019,0.18964694440364838,0.17707978188991547
Lake Fryxell,2017-01-14,0.4905820025037784,0.46403982589450776,0.4667073872030741,0.6289453506469727,0.6003723740577698,0.6153876185417175,0.24185676872730255,0.2024519294500351,0.19035710394382477
Lake Fryxell,2017-01-18,0.5524809695484686,0.5217870155265342,0.5410603990402927,0.6678009629249573,0.631399929523468,0.662352979183197,0.22023187577724457,0.17720244824886322,0.16454942524433136
Lake Fryxell,2017-01-25,0.5608449854519166,0.5299114908687762,0.5485351059549495,0.6630409359931946,0.6266548037528992,0.6570740342140198,0.2135213315486908,0.16851091384887695,0.15439057350158691
Lake Fryxell,2017-01-27,0.5499895457554177,0.5191587217741611,0.5371109561750176,0.6477444767951965,0.6115376949310303,0.643853485584259,0.22165070474147797,0.17298120260238647,0.15561562776565552
Lake Fryxell,2017-01-30,0.5561570891026493,0.5318861345407293,0.5484736517689931,0.6584285497665405,0.6301685571670532,0.6616115570068359,0.21819914877414703,0.1759001910686493,0.15820901095867157
Lake Fryxell,2017-11-04,0.5636848014408,0.5149681098240624,0.5401199380912578,0.6882110238075256,0.6273537874221802,0.6689093112945557,0.4018956422805786,0.3620443046092987,0.36250039935112
Lake Fryxell,2017-11-07,0.5650433652986342,0.5189135528980969,0.5505716743395729,0.6780229806900024,0.6303980946540833,0.694915771484375,0.4165734052658081,0.37046852707862854,0.3908560276031494
Lake Fryxell,2017-11-18,0.5979455971536763,0.5696961773182362,0.5903966538464501,0.7192122936248779,0.6787946224212646,0.7161707878112793,0.39663824439048767,0.36649641394615173,0.3747808337211609
Lake Fryxell,2017-11-20,0.5638891940577937,0.529749015018908,0.5475007417290639,0.6855777502059937,0.6526597142219543,0.6922908425331116,0.37709295749664307,0.3495849668979645,0.36464011669158936
Lake Fryxell,2017-11-21,0.5684020388588509,0.5390988112144582,0.5532196562418833,0.7079219222068787,0.668197512626648,0.6971835494041443,0.35914507508277893,0.322659969329834,0.3225434720516205
Lake Fryxell,2017-11-25,0.5105747209198485,0.48768091513926254,0.4866148743586755,0.6766415238380432,0.6432188153266907,0.6532388925552368,0.29995402693748474,0.26811060309410095,0.2597256302833557
Lake Fryxell,2017-11-27,0.49703365504214675,0.4716796179026926,0.47191476423273926,0.655554473400116,0.6200369000434875,0.6284810304641724,0.30752208828926086,0.2716492712497711,0.2637801766395569
Lake Fryxell,2017-11-30,0.5081550747973663,0.47810231186694446,0.48372089980384225,0.610235869884491,0.5740175247192383,0.5799123048782349,0.3763175904750824,0.3403891623020172,0.3354071080684662
Lake Fryxell,2017-12-02,0.4912331366695749,0.4615893557556252,0.4627905412646979,0.6349576115608215,0.5898481607437134,0.5980597734451294,0.28976893424987793,0.24968235194683075,0.23253785073757172
Lake Fryxell,2017-12-07,0.47579173611637904,0.44171946371623216,0.43997393888671554,0.5838144421577454,0.5370100140571594,0.5461694002151489,0.23706763982772827,0.17599618434906006,0.1472153514623642
Lake Fryxell,2017-12-16,0.6396565464815297,0.606095561720946,0.6353477800386992,0.6972430348396301,0.6607980132102966,0.6946127414703369,0.331326425075531,0.2947644293308258,0.2912774682044983
