date,lake,sed_mean,sed_mean_bb
2016-11-02,West Lake Bonney,0.09757633052811981,0.06350133675100755
2016-11-02,East Lake Bonney,0.2614431904663134,0.3017204272526282
2016-11-04,West Lake Bonney,0.09968235448015794,0.06262242555920378
2016-11-04,East Lake Bonney,0.2510455640731902,0.2979226143271835
2016-11-06,West Lake Bonney,0.10639798765657348,0.06890372292596043
2016-11-06,East Lake Bonney,0.2587160511655142,0.29474043316311305
2016-11-08,West Lake Bonney,0.12414491298154592,0.08391559179333637
2016-11-08,East Lake Bonney,0.2761498097089667,0.30591038018465044
2016-11-15,West Lake Bonney,0.1302843469831905,0.09553024718365692
2016-11-15,East Lake Bonney,0.2727088488278239,0.3207817095849249
2016-12-10,West Lake Bonney,0.06777673675871627,0.06136820754713949
2016-12-10,East Lake Bonney,0.17908570402952734,0.22799469431241354
2016-12-13,West Lake Bonney,0.07952786153315303,0.04227178216887527
2016-12-13,East Lake Bonney,0.21780277848215093,0.3372032087158274
2016-12-15,West Lake Bonney,0.12217032661291331,0.04081555571238864
2016-12-15,East Lake Bonney,0.2683956438177356,0.4383843534522586
2016-12-17,West Lake Bonney,0.1231661023911821,0.039900914102553774
2016-12-17,East Lake Bonney,0.3342082334908804,0.5276426338487201
2016-12-24,West Lake Bonney,0.061229424372169224,0.038006327768749515
2016-12-24,East Lake Bonney,0.1625974257758657,0.19641223384274376
2017-01-02,West Lake Bonney,0.04894859737731636,0.03505513123075874
2017-01-02,East Lake Bonney,0.12570707120327196,0.12464868459436629
2017-01-11,West Lake Bonney,0.06306768715066528,0.04528871731390745
2017-01-11,East Lake Bonney,0.14675181969874687,0.1431396682229307
2017-01-14,West Lake Bonney,0.08010011203600272,0.06461531193129832
2017-01-14,East Lake Bonney,0.11022143857843791,0.08522484893657276
2017-01-18,West Lake Bonney,0.07617924558437242,0.06235964804646253
2017-01-18,East Lake Bonney,0.11018530119761977,0.09197431784813051
2017-01-25,West Lake Bonney,0.0856858289620954,0.0729189741784073
2017-01-25,East Lake Bonney,0.14841950414501665,0.1416245062870008
2017-01-27,West Lake Bonney,0.0856390563685551,0.06899321350299861
2017-01-27,East Lake Bonney,0.15835393194797703,0.15131632183436994
2017-01-30,West Lake Bonney,0.09988335624271467,0.08501335507894714
2017-01-30,East Lake Bonney,0.1644642813892943,0.14303274361623658
2017-11-07,West Lake Bonney,0.1775243559883942,0.14712860441155065
2017-11-07,East Lake Bonney,0.09686224532779568,0.020898087695638456
2017-11-18,West Lake Bonney,0.16931321857049803,0.14651780033574455
2017-11-18,East Lake Bonney,0.11337197710871479,0.027430952978762368
2017-11-21,West Lake Bonney,0.17577906989359274,0.15900374166047376
2017-11-21,East Lake Bonney,0.1387552960992161,0.03560369723795534
2017-11-25,West Lake Bonney,0.12906062086323616,0.11412595216629666
2017-11-25,East Lake Bonney,0.12433446616992294,0.0615733982787653
2017-11-27,West Lake Bonney,0.09569152981171425,0.0755945277735226
2017-11-27,East Lake Bonney,0.10249671838394907,0.048786105063077734
2017-11-30,West Lake Bonney,0.0982471162090453,0.05134680033848211
2017-11-30,East Lake Bonney,0.09776349238448462,0.04582273893810688
2017-12-02,West Lake Bonney,0.09256013438025139,0.04760886624576211
2017-12-02,East Lake Bonney,0.1743785867063927,0.10979188617371889
2017-12-07,West Lake Bonney,0.2255545883346103,0.03842543657680577
2017-12-07,East Lake Bonney,0.14053822085229126,0.09021463469991296
2017-12-16,West Lake Bonney,0.054859580336293824,0.03553292745747777
2017-12-16,East Lake Bonney,0.09483212394870784,0.1143856737072821
2017-12-23,West Lake Bonney,0.050439583925765204,0.0451390899955851
2017-12-23,East Lake Bonney,0.10180310744808427,0.08006364003651673
2018-01-03,West Lake Bonney,0.04140835506581772,0.04122240541427169
2018-01-03,East Lake Bonney,0.02449015414944406,0.004670334647932948
2018-01-05,West Lake Bonney,0.04100785986234558,0.03833935216482757
2018-01-05,East Lake Bonney,0.0010375142047749203,0
2018-01-10,West Lake Bonney,0.024311699844073692,0.01887764733245563
2018-01-10,East Lake Bonney,0.13371896986110482,0.13677458349201416
2018-01-12,West Lake Bonney,0.04707011842815569,0.042467088447909786
2018-01-12,East Lake Bonney,0.10530357749379766,0.10413427675763766
2018-01-14,West Lake Bonney,0.047607575760931276,0.040197922011212715
2018-01-14,East Lake Bonney,0.05502086443212647,0.04797986110724095
2018-01-19,West Lake Bonney,0.055172528940363764,0.050720725013481786
2018-01-19,East Lake Bonney,0.05410085225660652,0.05148550784517149
2018-01-26,West Lake Bonney,0.06656813773081305,0.05799954869860867
2018-01-26,East Lake Bonney,0.05213379760728646,0.04451968738390456
2018-01-30,West Lake Bonney,0.07671550814285431,0.06869173060004502
2018-01-30,East Lake Bonney,0.05861831934494714,0.05749635011975274
2018-11-05,West Lake Bonney,0.1207091625815593,0.08633607497839292
2018-11-05,East Lake Bonney,0.11539688521607507,0.060383848704373966
2018-11-08,West Lake Bonney,0.1833770082188228,0.11101325760498199
2018-11-08,East Lake Bonney,0.1666108586005375,0.14506313379819472
2018-11-12,West Lake Bonney,0.20042064645419627,0.11864983122587315
2018-11-12,East Lake Bonney,0.18414162144789986,0.15628410839395926
2018-11-17,West Lake Bonney,0.20102249452490165,0.11603950532135873
2018-11-17,East Lake Bonney,0.19531840650864357,0.15922857632093063
2018-11-19,West Lake Bonney,0.200369172753059,0.11498467117867697
2018-11-19,East Lake Bonney,0.19628119117955342,0.17008070261117272
2018-11-24,West Lake Bonney,0.13204575849335448,0.06669382632408902
2018-11-24,East Lake Bonney,0.13870647785160675,0.11014771752142459
2018-11-26,West Lake Bonney,0.1449838471955227,0.08264729968765612
2018-11-26,East Lake Bonney,0.17634582660995224,0.14072092835844227
2018-11-28,West Lake Bonney,0.16167109283146722,0.10113577429316382
2018-11-28,East Lake Bonney,0.22852904850762454,0.19614682053043334
2018-11-30,West Lake Bonney,0.15736290407223746,0.09898130055482207
2018-11-30,East Lake Bonney,0.2266626121746205,0.19908920842464323
2018-12-05,West Lake Bonney,0.13283971596262134,0.08761425842537542
2018-12-05,East Lake Bonney,0.18786007724610002,0.19831133109551888
2018-12-30,West Lake Bonney,0.08449382958081579,0.051059578151403884
2018-12-30,East Lake Bonney,0.10591063890965491,0.07893667883343167
2019-01-01,West Lake Bonney,0.09326426814433181,0.058981559208486536
2019-01-01,East Lake Bonney,0.0912888210221051,0.06746843117806646
2019-01-04,West Lake Bonney,0.09556293692301122,0.05890128058045273
2019-01-04,East Lake Bonney,0.12741890647837173,0.12037256506306154
2019-01-06,West Lake Bonney,0.09886491715497299,0.0629340868787284
2019-01-06,East Lake Bonney,0.09304190134071565,0.08831777486398264
2019-01-11,West Lake Bonney,0.0866768414780364,0.042164957981144856
2019-01-11,East Lake Bonney,0.20709146405814635,0.24898717568980322
2019-01-15,West Lake Bonney,0.10223253428101886,0.06808572962060015
2019-01-15,East Lake Bonney,0.10300252825154037,0.0921553263992623
2019-01-24,West Lake Bonney,0.11849627155363654,0.08021341185580674
2019-01-24,East Lake Bonney,0.09720731582679498,0.07891099309859716
2019-11-06,West Lake Bonney,0.13037156637890238,0.035836104023202545
2019-11-06,East Lake Bonney,0.10915107030084292,0.07366888237674074
2019-11-08,West Lake Bonney,0.11838418774764778,0.03243571059476326
