date,lake,sediment,ice_abundance,sediment_abundance,B2mean,B3mean,B4mean,albedo
2016-11-02,Lake Fryxell,0.986889014518887,0.986889014518887,0.013110985481113,0.565729038943998,0.5256356439185613,0.5510957815957378,0.4062929179106627
2016-11-04,Lake Fryxell,0.9861619216453164,0.9861619216453164,0.01383807835468353,0.5364074691964558,0.49496348420796926,0.5197467284593363,0.3694331224735514
2016-11-06,Lake Fryxell,0.9845138195545612,0.9845138195545612,0.0154861804454387,0.5392930592925228,0.4989122109155324,0.5194760817798783,0.372590512401078
2016-11-08,Lake Fryxell,0.9792926836391754,0.9792926836391754,0.02070731636082456,0.5076385284059308,0.4670310418329064,0.4829508235660764,0.33158539059715175
2016-11-13,Lake Fryxell,0.9732536706518596,0.9732536706518596,0.02674632934814047,0.5175096529988414,0.4804129491409621,0.49274895626167353,0.34227665257696094
2016-11-15,Lake Fryxell,0.9742827011065056,0.9742827011065056,0.02571729889349427,0.5024648827912991,0.4656030253889987,0.47635232748236145,0.32374730112324146
2016-12-08,Lake Fryxell,0.9863158036215172,0.9863158036215172,0.01368419637848283,0.809511191746027,0.7525061796484986,0.7978284984482467,0.7109394999138807
2016-12-10,Lake Fryxell,0.9857880724432032,0.9857880724432032,0.01421192755679678,0.7683084721442011,0.7200064010777946,0.7605172311927261,0.6592790775282411
2016-12-13,Lake Fryxell,0.9785193518297348,0.9785193518297348,0.02148064817026507,0.7224824071146685,0.6847459947784534,0.7204091420548758,0.5999954580686808
2016-12-15,Lake Fryxell,0.9688733704367496,0.9688733704367496,0.03112662956325029,0.7028666177565644,0.6627815702798766,0.6949600245887204,0.5728330079223913
2016-12-17,Lake Fryxell,0.9846474851683972,0.9846474851683972,0.01535251483160293,0.6858182705548636,0.6522882852295417,0.6854383039706906,0.5558289854533813
2016-12-19,Lake Fryxell,0.9720212664381958,0.9720212664381958,0.02797873356180424,0.6249006181529687,0.5840411198312153,0.6056481156725376,0.47621178485105475
2016-12-24,Lake Fryxell,0.972334073658922,0.972334073658922,0.027665926341078,0.561117504330023,0.52550326539421,0.5372856188336621,0.396548622532801
2017-01-02,Lake Fryxell,0.9801507732229726,0.9801507732229726,0.01984922677702738,0.5344778450944477,0.5028402857521282,0.5121841682777791,0.3653774068528064
2017-01-09,Lake Fryxell,0.981118032583412,0.981118032583412,0.01888196741658787,0.6341666571138884,0.6031660887017268,0.6335642575825782,0.4902837160824156
2017-01-11,Lake Fryxell,0.994473627577814,0.994473627577814,0.00552637242218589,0.5481319127575228,0.5164291964038595,0.5305536962087882,0.3863642332019781
2017-01-14,Lake Fryxell,0.9940785957775304,0.9940785957775304,0.00592140422246956,0.4905820025037784,0.46403982589450776,0.4667073872030741,0.31430102692032946
2017-01-18,Lake Fryxell,0.9913451034468688,0.9913451034468688,0.00865489655313134,0.5524809695484686,0.5217870155265342,0.5410603990402927,0.39094675161231285
2017-01-25,Lake Fryxell,0.9816154016345916,0.9816154016345916,0.0183845983654084,0.5608449854519166,0.5299114908687762,0.5485351059549495,0.3987448476431852
2017-01-27,Lake Fryxell,0.9788417187333682,0.9788417187333682,0.02115828126663177,0.5499895457554177,0.5191587217741611,0.5371109561750176,0.3844140243520352
2017-01-30,Lake Fryxell,0.9738501798801498,0.9738501798801498,0.02614982011985023,0.5561570891026493,0.5318861345407293,0.5484736517689931,0.3907609782443737
2017-11-04,Lake Fryxell,0.8888548079811017,0.8888548079811017,0.11114519201889828,0.5636848014408,0.5149681098240624,0.5401199380912578,0.37694031730300104
2017-11-07,Lake Fryxell,0.9138650570746706,0.9138650570746706,0.08613494292532942,0.5650433652986342,0.5189135528980969,0.5505716743395729,0.38547524476732586
2017-11-18,Lake Fryxell,0.9160949201306524,0.9160949201306524,0.08390507986934748,0.5979455971536763,0.5696961773182362,0.5903966538464501,0.42722274504572566
2017-11-20,Lake Fryxell,0.8442640790784866,0.8442640790784866,0.15573592092151345,0.5638891940577937,0.529749015018908,0.5475007417290639,0.3650074415977137
2017-11-21,Lake Fryxell,0.8691188563607972,0.8691188563607972,0.13088114363920278,0.5684020388588509,0.5390988112144582,0.5532196562418833,0.3774437014032703
2017-11-25,Lake Fryxell,0.8486271880964205,0.8486271880964205,0.15137281190357954,0.5105747209198485,0.48768091513926254,0.4866148743586755,0.29954043490757143
2017-11-27,Lake Fryxell,0.8649443168172934,0.8649443168172934,0.13505568318270655,0.49703365504214675,0.4716796179026926,0.47191476423273926,0.28707002879458554
2017-11-30,Lake Fryxell,0.8755662386855333,0.8755662386855333,0.1244337613144667,0.5081550747973663,0.47810231186694446,0.48372089980384225,0.3038786472521988
2017-12-02,Lake Fryxell,0.8780345062847755,0.8780345062847755,0.12196549371522449,0.4912331366695749,0.4615893557556252,0.4627905412646979,0.28339565505721676
2017-12-07,Lake Fryxell,0.8546093192077703,0.8546093192077703,0.14539068079222972,0.47579173611637904,0.44171946371623216,0.43997393888671554,0.25768607689592193
2017-12-16,Lake Fryxell,0.9835869073042072,0.9835869073042072,0.01641309269579283,0.6396565464815297,0.606095561720946,0.6353477800386992,0.4978226218738535
2017-12-23,Lake Fryxell,0.9775800739451642,0.9775800739451642,0.02241992605483578,0.6758320112599724,0.6338714933319715,0.667603668179325,0.5414112594106273
2018-01-03,Lake Fryxell,0.9925091252259556,0.9925091252259556,0.00749087477404453,0.557835378737521,0.5278668501052259,0.5421981174195605,0.3979595966785727
2018-01-05,Lake Fryxell,0.9921788230059072,0.9921788230059072,0.00782117699409279,0.5551047526034766,0.52541133410075,0.5440529400773719,0.39445518270808755
2018-01-07,Lake Fryxell,0.98685403799721,0.98685403799721,0.01314596200279005,0.564303017840232,0.53212021841224,0.551892930463149,0.40450038898197793
2018-01-10,Lake Fryxell,0.9558084553381568,0.9558084553381568,0.04419154466184327,0.662931202561832,0.6317006089071978,0.6657952183878252,0.519330195057216
2018-01-12,Lake Fryxell,0.9480140849347164,0.9480140849347164,0.05198591506528349,0.6608044679230829,0.6301390144512027,0.6638551690469818,0.5145406042649652
2018-01-14,Lake Fryxell,0.9337890678844646,0.9337890678844646,0.06621093211553541,0.6121919266060349,0.5808970723778341,0.606160909008396,0.4498715915703311
2018-01-19,Lake Fryxell,0.9217926810933712,0.9217926810933712,0.07820731890662891,0.6201698676315842,0.5939012402425788,0.6197771217696819,0.45656739864850815
2018-01-26,Lake Fryxell,0.9891862371879308,0.9891862371879308,0.01081376281206913,0.754076680739,0.7160206718040524,0.7624478274071684,0.6424137807677281
2018-01-30,Lake Fryxell,0.9830766888200346,0.9830766888200346,0.01692331117996537,0.6959810176692401,0.6557632390873364,0.7021535344842447,0.568106208324096
2018-11-05,Lake Fryxell,0.8574591183022017,0.8574591183022017,0.14254088169779833,0.5593336225907242,0.5269681796333574,0.5388072363996798,0.36291829705813217
2018-11-07,Lake Fryxell,0.9012935578075356,0.9012935578075356,0.09870644219246429,0.5258868504032692,0.5015537081473378,0.5036308341314397,0.33308116901882334
2018-11-08,Lake Fryxell,0.8618992333764699,0.8618992333764699,0.1381007666235301,0.5078775480582152,0.46936161228654283,0.47272147734509495,0.2997959135637913
2018-11-12,Lake Fryxell,0.8687504696173731,0.8687504696173731,0.13124953038262688,0.5227244696063645,0.49677942151373083,0.4987654778941692,0.32023188495874655
2018-11-17,Lake Fryxell,0.9020217604646722,0.9020217604646722,0.0979782395353278,0.5352563437651248,0.5059312647552724,0.5136781421865203,0.3449949871783867
2018-11-19,Lake Fryxell,0.8678702067488013,0.8678702067488013,0.13212979325119867,0.5219251754277959,0.5019710283583726,0.49705527340763145,0.318991908401845
2018-11-24,Lake Fryxell,0.8907601788229457,0.8907601788229457,0.10923982117705432,0.499938400832603,0.48210516683816423,0.48245264956319284,0.29775836922447585
2018-11-26,Lake Fryxell,0.8843654284967821,0.8843654284967821,0.11563457150321788,0.49598713682314566,0.48026760888326686,0.4861150572114022,0.2910701232666577
2018-11-28,Lake Fryxell,0.8859760167786357,0.8859760167786357,0.11402398322136433,0.5093916808462986,0.4876177522789402,0.4941858839783315,0.30827019690520796
2018-11-30,Lake Fryxell,0.8593112270083282,0.8593112270083282,0.14068877299167182,0.49021195863696404,0.4670085737971972,0.4718667298886436,0.277001044793839
2018-12-05,Lake Fryxell,0.859674167077705,0.859674167077705,0.14032583292229495,0.4843084518059774,0.46400951169645727,0.45942194912201745,0.26971903720655166
2018-12-19,Lake Fryxell,0.9850402936558708,0.9850402936558708,0.01495970634412913,0.5128925132814974,0.48380457376628416,0.4955653914097782,0.3397255521488849
2018-12-25,Lake Fryxell,0.8084914965114885,0.8084914965114885,0.19150850348851145,0.5715957117767135,0.5252979867543744,0.5440689545387423,0.364864900047993
2018-12-30,Lake Fryxell,0.8325925089958818,0.8325925089958818,0.16740749100411825,0.614102555237452,0.5801675545503103,0.6037061892921112,0.42459940224787307
2019-01-01,Lake Fryxell,0.8360171521574041,0.8360171521574041,0.16398284784259587,0.5730303754965428,0.5413984363462427,0.5598622104851898,0.3741825371577874
2019-01-04,Lake Fryxell,0.8073099512326284,0.8073099512326284,0.1926900487673716,0.56567770943326,0.5410821602741652,0.5563804023787025,0.35714259895142597
2019-01-06,Lake Fryxell,0.7899312838217323,0.7899312838217323,0.21006871617826772,0.5718009205456089,0.5452635284860343,0.5606357648451835,0.36004822608721265
2019-01-10,Lake Fryxell,0.7866360312352334,0.7866360312352334,0.2133639687647666,0.5434840768643232,0.5106302141177089,0.5222401027792545,0.3237426689220707
2019-01-11,Lake Fryxell,0.7656949411568286,0.7656949411568286,0.23430505884317143,0.5188903128295441,0.4804999141216386,0.48811031033449015,0.28726880224971496
2019-01-15,Lake Fryxell,0.8063930471353462,0.8063930471353462,0.1936069528646538,0.6041907075918388,0.5774293824628323,0.5998631531545376,0.40504515911312755
2019-01-24,Lake Fryxell,0.8174293180070912,0.8174293180070912,0.1825706819929088,0.6111653687035894,0.5769978153701543,0.6021038846188164,0.41678230192784327
2019-01-26,Lake Fryxell,0.8021247810839671,0.8021247810839671,0.19787521891603288,0.5753616849849403,0.5385087065667259,0.5586689041838357,0.3678332560150124
2019-01-27,Lake Fryxell,0.7923368782807101,0.7923368782807101,0.2076631217192899,0.623730522915096,0.5979804948286469,0.6312365221128634,0.425633872415223
2019-11-04,Lake Fryxell,0.5776722133185193,0.5776722133185193,0.42232778668148074,0.41942467287983437,0.369665809095622,0.3642822223823375,0.11151178553686991
2019-11-06,Lake Fryxell,0.5755837845693921,0.5755837845693921,0.4244162154306079,0.45513681634311315,0.4094790602839742,0.40794417676918093,0.15559218451615553
2019-11-08,Lake Fryxell,0.5918920312926905,0.5918920312926905,0.4081079687073095,0.44855817639619633,0.4031102429425952,0.4028004313293592,0.15182454136347223
2019-11-10,Lake Fryxell,0.5948758404999274,0.5948758404999274,0.40512415950007263,0.4443023087276512,0.39815665410235745,0.39719696302069096,0.1473189818675198
2019-11-11,Lake Fryxell,0.6090738418154474,0.6090738418154474,0.39092615818455256,0.4638867036700654,0.42048126881732284,0.4186723453337523,0.17568642838755388
2019-11-15,Lake Fryxell,0.630144283410774,0.630144283410774,0.369855716589226,0.4898844610952893,0.4451614899636396,0.4470154879193705,0.21395107897955223
2019-11-17,Lake Fryxell,0.6218899748578596,0.6218899748578596,0.3781100251421404,0.47638776496380425,0.4365589690773267,0.4388182840023525,0.19481979213954148
2019-11-24,Lake Fryxell,0.6403564309744657,0.6403564309744657,0.3596435690255343,0.4531045017653759,0.42056526345707773,0.41883583748943276,0.1707561164448277
2019-11-26,Lake Fryxell,0.6538270086925009,0.6538270086925009,0.3461729913074991,0.336801256932955,0.2870230962868803,0.27439517546398684,0.029023054111851243
2019-11-27,Lake Fryxell,0.682115851412782,0.682115851412782,0.31788414858721803,0.4712999249985634,0.4430264205254008,0.4485661597836723,0.20492055605012371
2019-12-03,Lake Fryxell,0.6791188762390078,0.6791188762390078,0.3208811237609922,0.4753183609056678,0.441531513697894,0.4482171197808862,0.209125653455136
2019-12-10,Lake Fryxell,0.96894051914133,0.96894051914133,0.03105948085866994,0.851810049940415,0.7994761820472954,0.8456832255211257,0.7590768250430913
2019-12-12,Lake Fryxell,0.9398195672602768,0.9398195672602768,0.06018043273972318,0.5927850909715228,0.5317981420420541,0.5497485727335261,0.4272554076075288
2019-12-17,Lake Fryxell,0.9024352252762292,0.9024352252762292,0.09756477472377068,0.6608473194534615,0.6207437328411538,0.6509670464191488,0.5021356564628621
2019-12-24,Lake Fryxell,0.8552132005973458,0.8552132005973458,0.14478679940265415,0.5505796970457102,0.5171829043460849,0.534121774895422,0.35135927726450045
2019-12-26,Lake Fryxell,0.8766016082417286,0.8766016082417286,0.1233983917582714,0.5371890370029896,0.5053705751821584,0.5207399802902771,0.3404631084520021
2019-12-29,Lake Fryxell,0.9348730892673818,0.9348730892673818,0.06512691073261823,0.573770940999708,0.5505149219412296,0.574487734363885,0.40212975546169116
2019-12-31,Lake Fryxell,0.8984941514790733,0.8984941514790733,0.1015058485209267,0.4839350563535018,0.45112336987582663,0.4587129345423401,0.2798632316746368
2020-01-02,Lake Fryxell,0.8555791901446278,0.8555791901446278,0.1444208098553722,0.5451394449357839,0.5175256745780414,0.5328868184465855,0.34465731523179266
2020-01-11,Lake Fryxell,0.8677394178874128,0.8677394178874128,0.13226058211258718,0.6121221292291847,0.5771047221380576,0.6081887703178638,0.4317303118818876
2020-01-20,Lake Fryxell,0.8204850112491107,0.8204850112491107,0.17951498875088934,0.5635961242183972,0.5275918463748805,0.5508461222204593,0.3581412430463362
2020-10-30,Lake Fryxell,0.7518121695779602,0.7518121695779602,0.24818783042203985,0.5256083944208144,0.5028445971671537,0.5000434630455222,0.2918737700607281
2020-11-08,Lake Fryxell,0.8605079378472781,0.8605079378472781,0.13949206215272192,0.6607245713425072,0.6414215975514725,0.6581885882906027,0.4905217785264253
2020-11-15,Lake Fryxell,0.7007795417263367,0.7007795417263367,0.2992204582736633,0.5027577835965984,0.48318248744306586,0.47379666151332356,0.24935416434413993
2020-11-17,Lake Fryxell,0.7051979287669915,0.7051979287669915,0.2948020712330085,0.512001543608795,0.4896042428909043,0.48035799136131535,0.262119451838682
2020-11-19,Lake Fryxell,0.7099364918281647,0.7099364918281647,0.29006350817183535,0.4997935867301463,0.4731119100778883,0.4676669140172583,0.24815096010087978
2020-11-24,Lake Fryxell,0.7104622845920165,0.7104622845920165,0.28953771540798345,0.5062237740225112,0.4862895488766039,0.4786468117760304,0.2563344077684677
2020-11-26,Lake Fryxell,0.712134270830797,0.712134270830797,0.28786572916920306,0.4910753159951634,0.4693921410937451,0.4639113299621257,0.23785115993080286
2020-11-28,Lake Fryxell,0.7259255118679019,0.7259255118679019,0.2740744881320981,0.4901607197493389,0.4636992364817805,0.4601488853529234,0.24047732892376827
2020-11-29,Lake Fryxell,0.7195172074902958,0.7195172074902958,0.2804827925097042,0.49675006491206614,0.46610038856061725,0.46701028989342924,0.24696440715560286
2020-12-01,Lake Fryxell,0.6801618932509553,0.6801618932509553,0.31983810674904467,0.4893565097347838,0.4679224603680412,0.4652666150881736,0.22696278958771376
2020-12-03,Lake Fryxell,0.6818802279513555,0.6818802279513555,0.3181197720486445,0.5103758652784256,0.47841143165889227,0.48193306624348864,0.25371318962449185
2020-12-08,Lake Fryxell,0.6675165834581228,0.6675165834581228,0.3324834165418772,0.49419139106712545,0.4615718961620082,0.4682472520703173,0.22955142108758098
2020-12-10,Lake Fryxell,0.6624092126962108,0.6624092126962108,0.3375907873037892,0.5165433846743462,0.4885232963818213,0.49643117343114634,0.2561022934905641
2020-12-14,Lake Fryxell,0.6879315453170799,0.6879315453170799,0.3120684546829201,0.5312762811283384,0.5035394763485749,0.5042031583494676,0.2814992556545435
2020-12-15,Lake Fryxell,0.7076818411270543,0.7076818411270543,0.29231815887294565,0.510173136811358,0.4781224566254857,0.48147518299410225,0.2605123291402781
2020-12-21,Lake Fryxell,0.7563874905651564,0.7563874905651564,0.2436125094348436,0.5138375994009756,0.49569249334883403,0.5011344247868584,0.2784072455781138
2020-12-24,Lake Fryxell,0.7294073352818232,0.7294073352818232,0.2705926647181768,0.5015296114191018,0.4766644731221408,0.4893706000917381,0.2556436894793508
2020-12-26,Lake Fryxell,0.7290220607021137,0.7290220607021137,0.27097793929788627,0.5112586659595718,0.47960711478160045,0.489089370408963,0.2677027127082281
2020-12-30,Lake Fryxell,0.71004348534422,0.71004348534422,0.28995651465578,0.4924977344163716,0.4566151760628342,0.4657480638449734,0.23905812860212272
2021-01-06,Lake Fryxell,0.6917678967614401,0.6917678967614401,0.3082321032385599,0.4777034562147818,0.4448457870339353,0.4503670815801545,0.21556524524067588
2021-01-13,Lake Fryxell,0.6909693514481569,0.6909693514481569,0.30903064855184315,0.466213833735768,0.4305147282784284,0.43681176972616237,0.20098138098300733
2021-01-16,Lake Fryxell,0.6880510267388575,0.6880510267388575,0.31194897326114246,0.49212043875132905,0.46605478801091654,0.47572731484944686,0.2325749734239736
