system:index,Change in Sediment Cover?,Cloud Free (Y/N/P),Coverage of lakes,Date (YYYYMMDD),File ID,Notes,Snow Cover (Y/N/P),temp,.geo
00000000000000000028,NA,Y,All,2018-01-30,LANDSAT_8_2018-01-30,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,NA,Y,All,2018-11-05,LANDSAT_8_2018-11-05,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,NA,Y,All,2018-11-08,LANDSAT_8_2018-11-08,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,NA,Y,All,2018-11-17,LANDSAT_8_2018-11-17,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,NA,Y,All,2018-11-19,LANDSAT_8_2018-11-19,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,NA,Y,All,2018-11-24,LANDSAT_8_2018-11-24,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,NA,Y,All,2018-11-26,LANDSAT_8_2018-11-26,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,NA,Y,All,2018-11-28,LANDSAT_8_2018-11-28,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,NA,Y,All,2018-11-30,LANDSAT_8_2018-11-30,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,NA,Y,All,2018-12-05,LANDSAT_8_2018-12-05,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,NA,Y,All,2018-12-30,LANDSAT_8_2018-12-30,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,NA,Y,All,2019-01-01,LANDSAT_8_2019-01-01,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,NA,Y,All,2019-01-04,LANDSAT_8_2019-01-04,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,NA,Y,All,2019-01-06,LANDSAT_8_2019-01-06,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,NA,Y,All,2019-01-11,LANDSAT_8_2019-01-11,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,NA,Y,All,2019-01-15,LANDSAT_8_2019-01-15,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,NA,Y,All,2019-01-24,LANDSAT_8_2019-01-24,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,NA,Y,All,2019-11-08,LANDSAT_8_2019-11-08,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,NA,Y,All,2019-11-11,LANDSAT_8_2019-11-11,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,NA,Y,All,2019-11-15,LANDSAT_8_2019-11-15,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,NA,Y,All,2019-11-17,LANDSAT_8_2019-11-17,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,NA,Y,All,2019-11-24,LANDSAT_8_2019-11-24,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,NA,Y,All,2019-11-27,LANDSAT_8_2019-11-27,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,NA,Y,All,2019-12-03,LANDSAT_8_2019-12-03,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,NA,Y,All,2019-12-17,LANDSAT_8_2019-12-17,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,NA,Y,All,2019-12-24,LANDSAT_8_2019-12-24,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,NA,Y,All,2019-12-26,LANDSAT_8_2019-12-26,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,NA,Y,All,2019-12-31,LANDSAT_8_2019-12-31,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,NA,Y,All,2020-01-02,LANDSAT_8_2020-01-02,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,NA,Y,All,2020-01-11,LANDSAT_8_2020-01-11,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,NA,Y,All,2020-01-20,LANDSAT_8_2020-01-20,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,NA,Y,All,2020-10-30,LANDSAT_8_2020-10-30,NA,N,true,"{""type"":""MultiPoint"",""coordinates"":[]}"
