system:index,brightest_band_means,brightest_geometry,date,dimmest_band_means,dimmest_geometry,image_id,.geo
60,"[0.2875759219926531, 0.24861650259312695, 0.24804270632077652, 0.23927261300099228, 0.1462413329170689, 0.13902016623176366, 0.2490995774219591]","[163.17518725654375, -77.61204069306538]",2019-01-11T00:00:00,"[0.49536673181903157, 0.461958870018876, 0.4693767825265759, 0.40280843109071646, 0.06978801752810428, 0.06815135829328371, 0.46600313048436515]","[163.17537161413546, -77.5996182219057]",60,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,"[0.20235504021702172, 0.16532011580815584, 0.1592022634799237, 0.1503259637540791, 0.15478799895771556, 0.1445603895165605, 0.16327641507003235]","[163.17518725654375, -77.61204069306538]",2019-01-15T00:00:00,"[0.5599031522079753, 0.5394837119480088, 0.5597267156275177, 0.486489400401501, 0.022216327261396395, 0.022099269870647257, 0.5444622059406747]","[163.17537161413546, -77.5996182219057]",61,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,"[0.20603518660748463, 0.16552437286588875, 0.15909978367858477, 0.15025793576098612, 0.15346418866759295, 0.14344633676714977, 0.16353391090636402]","[163.17518725654375, -77.61204069306538]",2019-01-24T00:00:00,"[0.576078131749625, 0.5477699241209866, 0.5703380342255042, 0.5037892946165387, 0.026229501020247112, 0.027164946496159463, 0.5506325690265153]","[163.17537161413546, -77.5996182219057]",62,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,"[0.20867945420772674, 0.16692817701338133, 0.15983502515104375, 0.15147730541400198, 0.15323766804276498, 0.14182867193338158, 0.16397005329876863]","[163.17518725654375, -77.61204069306538]",2019-01-26T00:00:00,"[0.5383953082002535, 0.5091072277828338, 0.5280789777995943, 0.4565813837180418, 0.01840846200419681, 0.01793301964384943, 0.510587634711916]","[163.17537161413546, -77.5996182219057]",63,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,"[0.2107014674936524, 0.17298179129653288, 0.1696761404043491, 0.1643215969516372, 0.16584283819074744, 0.15540107086362337, 0.17279774150562602]","[163.17518725654375, -77.61204069306538]",2019-01-27T00:00:00,"[0.5701355204599289, 0.5528073816833105, 0.5834774512687605, 0.5150147583019765, 0.020170541438906144, 0.020102900616448597, 0.5587142562432899]","[163.17537161413546, -77.5996182219057]",64,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,"[0.1975050957303066, 0.1489683979299308, 0.14048083502375158, 0.12908533013218562, 0.11888358798597479, 0.11116537783524988, 0.14689659337449326]","[163.17518725654375, -77.61204069306538]",2019-11-04T00:00:00,"[0.40733542673113093, 0.351382907766175, 0.34809743898372836, 0.26283164332041214, 0.018764268544544528, 0.01746024110680865, 0.34933205571990333]","[163.17537161413546, -77.5996182219057]",65,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,"[0.2141136441724771, 0.16845827205415947, 0.16401552201438274, 0.15777958218500432, 0.15062856349721368, 0.1408684895154201, 0.1686555846224277]","[163.17518725654375, -77.61204069306538]",2019-11-06T00:00:00,"[0.4874407183813103, 0.44758603749190806, 0.4622026981936781, 0.3600849918107487, 0.022007915379114448, 0.020375241251504684, 0.45057820058635706]","[163.17537161413546, -77.5996182219057]",66,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,"[0.21107234270729267, 0.16579084723899565, 0.16218789421595986, 0.15551474534803195, 0.14977062455208565, 0.14011280576054058, 0.16439769633211607]","[163.17518725654375, -77.61204069306538]",2019-11-08T00:00:00,"[0.4759962458210566, 0.4363648105808129, 0.4497797529517489, 0.3520997200531457, 0.024383377683246454, 0.022689542615026464, 0.4379859309962903]","[163.17537161413546, -77.5996182219057]",67,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,"[0.21179397551764056, 0.16734440201155218, 0.16325514610025937, 0.1583233299739933, 0.15200024662180384, 0.14294912321701553, 0.16493229005141288]","[163.17518725654375, -77.61204069306538]",2019-11-10T00:00:00,"[0.47578061849601727, 0.43637192909938727, 0.44916976957407834, 0.3520258952204774, 0.026347971354131687, 0.024897766243607258, 0.441097804462416]","[163.17537161413546, -77.5996182219057]",68,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,"[0.2067380071710461, 0.16340166774156858, 0.15884538970598866, 0.15232202160110866, 0.14951692055224128, 0.14114231222738133, 0.16307505716762555]","[163.17518725654375, -77.61204069306538]",2019-11-11T00:00:00,"[0.4861444665804786, 0.44749292434490123, 0.45954099018044925, 0.35793471460297793, 0.026380986856312644, 0.024881794813004312, 0.4517620449436328]","[163.17537161413546, -77.5996182219057]",69,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,"[0.2134817202080894, 0.16981809654880464, 0.16586273720826, 0.1589048746707418, 0.15600252417700225, 0.14679130533728896, 0.16868560977276612]","[163.17518725654375, -77.61204069306538]",2019-11-15T00:00:00,"[0.5107870377863463, 0.4708052712206534, 0.4850869107251231, 0.38581371410063303, 0.033521468844321375, 0.03232523291922024, 0.47681151375473524]","[163.17537161413546, -77.5996182219057]",70,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,"[0.21279885128633358, 0.17218647085809094, 0.1702711005158219, 0.16522313587592827, 0.16110601693922005, 0.1526678669059953, 0.17231197601777323]","[163.17518725654375, -77.61204069306538]",2019-11-17T00:00:00,"[0.4971271478363037, 0.4617945205987317, 0.47616545514000186, 0.37782261148875373, 0.03058291272697626, 0.029011658093522113, 0.46610470937358456]","[163.17537161413546, -77.5996182219057]",71,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,"[0.2635890812111152, 0.22819416898094264, 0.22777489615754343, 0.21678366794953413, 0.16340196074700308, 0.15252034021901203, 0.2270742278728289]","[163.17518725654375, -77.61204069306538]",2019-11-24T00:00:00,"[0.45578939656286366, 0.4236062448895884, 0.4288662862482928, 0.35027315371198103, 0.06571823003247625, 0.06246376038705099, 0.42516423379776486]","[163.17537161413546, -77.5996182219057]",72,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,"[0.18508716784294135, 0.14592223553319492, 0.1341128029170648, 0.12066938973691609, 0.08878541814956739, 0.08426043380442197, 0.13776492370694604]","[163.17518725654375, -77.61204069306538]",2019-11-26T00:00:00,"[0.3864785643491655, 0.3472927615039454, 0.34631390452715166, 0.29377017238197933, 0.08270836274892959, 0.0770055006709536, 0.3417929753335969]","[163.17537161413546, -77.5996182219057]",73,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,"[0.19649797649467574, 0.16158164434549746, 0.15871267085516322, 0.1527591706398802, 0.15474728599764254, 0.14555698252222998, 0.16236302788602888]","[163.17518725654375, -77.61204069306538]",2019-11-27T00:00:00,"[0.4678375453499875, 0.44471232492483487, 0.45962525534191684, 0.3771076488918521, 0.013909744179135144, 0.012786892475104113, 0.44811540112150056]","[163.17537161413546, -77.5996182219057]",74,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,"[0.2000116500667085, 0.16316871798236862, 0.15876373887134637, 0.15229827234651153, 0.15797329875219412, 0.14819511895790027, 0.16304767687814387]","[163.17518725654375, -77.61204069306538]",2019-12-03T00:00:00,"[0.4534806388691869, 0.4233815597989303, 0.4348263293172481, 0.36227827878241897, 0.010776468751926001, 0.009879661959240272, 0.4242190472898946]","[163.17537161413546, -77.5996182219057]",75,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,"[0.5145678503752188, 0.4650018042570713, 0.4810984283917522, 0.4907567858502447, 0.17688261048603324, 0.17386750964296527, 0.46950354217184675]","[163.17518725654375, -77.61204069306538]",2019-12-10T00:00:00,"[0.8748988382083873, 0.8249991315738967, 0.8743493952998259, 0.8984050015671559, 0.17442175729855772, 0.17798250633235335, 0.8409719114673756]","[163.17537161413546, -77.5996182219057]",76,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,"[0.37094939335639393, 0.3172092651841864, 0.32019649047349324, 0.3196190915967022, 0.1462261474927643, 0.1396285480211256, 0.3186715515772059]","[163.17518725654375, -77.61204069306538]",2019-12-12T00:00:00,"[0.5888645575301211, 0.5296970341291937, 0.5476332130597077, 0.5419041083037196, 0.1213353299342952, 0.11971467783872551, 0.5366114198166844]","[163.17537161413546, -77.5996182219057]",77,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,"[0.2123529023775541, 0.17104085012116216, 0.1639581917778996, 0.15390392942582767, 0.1552257056091681, 0.14440403806113308, 0.1693447389100196]","[163.17518725654375, -77.61204069306538]",2019-12-17T00:00:00,"[0.6303631556121878, 0.5953541924748726, 0.623688700376157, 0.5954477874324673, 0.04105931459024069, 0.04202157866596593, 0.6002690998712639]","[163.17537161413546, -77.5996182219057]",78,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,"[0.20155229742985203, 0.164016507151186, 0.15925691360401725, 0.15175687885631978, 0.15701126990617953, 0.14688833303125104, 0.1635047644507794]","[163.17518725654375, -77.61204069306538]",2019-12-24T00:00:00,"[0.5398617819445928, 0.5141685078630704, 0.5347708322298573, 0.45589126488556914, 0.01409877195771091, 0.013075552648389553, 0.5155464980249652]","[163.17537161413546, -77.5996182219057]",79,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,"[0.2000799133747701, 0.1632670808417431, 0.15878588006455785, 0.1513803650848131, 0.15675116960128863, 0.14610760484848606, 0.1617235769906112]","[163.17518725654375, -77.61204069306538]",2019-12-26T00:00:00,"[0.5258454628131186, 0.5034333830282144, 0.5230809324504992, 0.44423904646313606, 0.012120464788248317, 0.011122538928003174, 0.5015191995536191]","[163.17537161413546, -77.5996182219057]",80,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,"[0.22859708872391715, 0.1910562325937535, 0.18676737044516875, 0.1801465545097852, 0.17590916133584955, 0.1635696663489919, 0.19031115600110088]","[163.17518725654375, -77.61204069306538]",2019-12-29T00:00:00,"[0.5183064655757146, 0.4992945641188611, 0.5195992694002705, 0.46572267960659613, 0.07058719463425425, 0.06913320334163475, 0.49910313383919686]","[163.17537161413546, -77.5996182219057]",81,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,"[0.24226372304610563, 0.20555612779430504, 0.20136647608814331, 0.19151563189461607, 0.13126787879008894, 0.12376217284369417, 0.2046294392489826]","[163.17518725654375, -77.61204069306538]",2019-12-31T00:00:00,"[0.47649656570519094, 0.4458434049680132, 0.45675624812481325, 0.4052321983868911, 0.06252623049134692, 0.06124076250462094, 0.44591370073736264]","[163.17537161413546, -77.5996182219057]",82,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,"[0.20477256717527376, 0.16856234465385334, 0.16259969315194697, 0.1535368139506483, 0.157452633932383, 0.14551686452954815, 0.1662565880539307]","[163.17518725654375, -77.61204069306538]",2020-01-02T00:00:00,"[0.5032206452840824, 0.4806694464823353, 0.4980352060709133, 0.43098631254942565, 0.013629391504143693, 0.012601696370154038, 0.4776758896898605]","[163.17537161413546, -77.5996182219057]",83,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,"[0.20296056546648336, 0.16397131293425415, 0.15901677252910357, 0.15059026528830485, 0.1533817889203256, 0.14308007301887818, 0.16237379598946564]","[163.17518725654375, -77.61204069306538]",2020-01-11T00:00:00,"[0.5368157042964762, 0.5067810755663246, 0.5313182508701425, 0.4987949934708703, 0.02886180390994151, 0.029347150724787198, 0.5035310931084453]","[163.17537161413546, -77.5996182219057]",84,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,"[0.20223234356082687, 0.16192653789427844, 0.1562278610848529, 0.1492936559727572, 0.15348109058410317, 0.14299086891333948, 0.1605299011075447]","[163.17518725654375, -77.61204069306538]",2020-01-20T00:00:00,"[0.4794001572760816, 0.4480181130498867, 0.4633164819463122, 0.40307984742495856, 0.01817632687533748, 0.017327844942112293, 0.4418232830064006]","[163.17537161413546, -77.5996182219057]",85,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,"[0.2740449048843337, 0.2378981710024602, 0.23233020611861824, 0.21603012417296233, 0.12840472253648427, 0.12246744928859221, 0.23198295941612015]","[163.17518725654375, -77.61204069306538]",2020-10-30T00:00:00,"[0.6309721051587517, 0.6115340278338888, 0.6299262204050864, 0.566439108722605, 0.039188755016969515, 0.0407960277190926, 0.6294961739159074]","[163.17537161413546, -77.5996182219057]",86,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,"[0.3389234038890476, 0.3062722758874915, 0.3043338210368393, 0.29197331390272474, 0.16641908413315712, 0.16007547710915665, 0.30834486211079226]","[163.17518725654375, -77.61204069306538]",2020-11-08T00:00:00,"[0.7297745548014012, 0.7090770271966347, 0.7372298140387609, 0.6986730352993485, 0.07993734959842919, 0.0828118740844812, 0.7277310916309652]","[163.17537161413546, -77.5996182219057]",87,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,"[0.24073063670028522, 0.20856188831274183, 0.2008323915545175, 0.18491063451606485, 0.14310642032313473, 0.13634468329692245, 0.21889623629258986]","[163.17518725654375, -77.61204069306538]",2020-11-15T00:00:00,"[0.6064764434329144, 0.5924830872737412, 0.6029746710940008, 0.5294857521432369, 0.035097665018977466, 0.035649536287756994, 0.6052395383390766]","[163.17537161413546, -77.5996182219057]",88,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,"[0.24507624173788511, 0.21416648660619433, 0.20604180547285977, 0.18949487111867303, 0.148163368524649, 0.14095861517406477, 0.2110275942551253]","[163.17518725654375, -77.61204069306538]",2020-11-17T00:00:00,"[0.6114819582737214, 0.5933690415641825, 0.6033288177509788, 0.5283219622732874, 0.03396301476137496, 0.034073565898010215, 0.6038843531172369]","[163.17537161413546, -77.5996182219057]",89,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,"[0.24200466309789298, 0.20596410807866988, 0.19934988975412007, 0.1879605695565965, 0.1494022336653215, 0.14167870554639833, 0.21287654354782282]","[163.17518725654375, -77.61204069306538]",2020-11-19T00:00:00,"[0.5898682465425064, 0.5673055537012281, 0.5814899937597998, 0.5115389540921383, 0.03240512160456093, 0.03246943098492606, 0.581448172213749]","[163.17537161413546, -77.5996182219057]",90,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,"[0.2368232562471723, 0.20643066612699074, 0.19889162925658474, 0.18433292194881384, 0.15336242677603698, 0.1442312118242326, 0.20595661139952706]","[163.17518725654375, -77.61204069306538]",2020-11-24T00:00:00,"[0.5983645329341862, 0.5829044101842472, 0.5948011161012347, 0.5210264975936354, 0.03149448419437159, 0.03150175697723982, 0.5964661482584395]","[163.17537161413546, -77.5996182219057]",91,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,"[0.2286114881384287, 0.19628858974319766, 0.19111344712170686, 0.17922023465203102, 0.1526647211229947, 0.1443960856854702, 0.20112734430658633]","[163.17518725654375, -77.61204069306538]",2020-11-26T00:00:00,"[0.5754500368033524, 0.5593029334028702, 0.5723849975549724, 0.4966405797818973, 0.027324973754763487, 0.027016018284185858, 0.5650620714517616]","[163.17537161413546, -77.5996182219057]",92,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,"[0.22536980785968244, 0.19310306869726945, 0.1855839571227548, 0.17413674644520566, 0.15469887538981325, 0.14482679353880884, 0.19136909146834824]","[163.17518725654375, -77.61204069306538]",2020-11-28T00:00:00,"[0.5605691952984379, 0.5363982571141074, 0.5490631904282139, 0.4788174626694506, 0.025991131585856753, 0.025469071842827196, 0.5461023517894822]","[163.17537161413546, -77.5996182219057]",93,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,"[0.2162244997105659, 0.18167688524352918, 0.17410430608506633, 0.16685322902807884, 0.15100551060694664, 0.14147256168293093, 0.1784525020871426]","[163.17518725654375, -77.61204069306538]",2020-11-29T00:00:00,"[0.5635519262004821, 0.5357993493534554, 0.5513826350482458, 0.4834156349038572, 0.025160337691831767, 0.02474241106150575, 0.5443820568180014]","[163.17537161413546, -77.5996182219057]",94,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,"[0.2116615702907473, 0.17960726800427276, 0.17426053871222547, 0.1639018884968275, 0.1516911460492798, 0.14262857930868944, 0.18226579267125664]","[163.17518725654375, -77.61204069306538]",2020-12-01T00:00:00,"[0.5433705721897947, 0.5251594638934806, 0.5373499559458909, 0.468768757967504, 0.023808781721685015, 0.023304013773040342, 0.5304179679307655]","[163.17537161413546, -77.5996182219057]",95,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,"[0.21672686189463475, 0.18187956730406418, 0.17671538934364595, 0.16619011516730864, 0.15752876538014468, 0.14909366503290342, 0.18091921241294862]","[163.17518725654375, -77.61204069306538]",2020-12-03T00:00:00,"[0.5545150931441583, 0.5263480950240291, 0.5429935363666181, 0.47641258562998895, 0.026425129067373977, 0.026117939751112762, 0.5330696053041346]","[163.17537161413546, -77.5996182219057]",96,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,"[0.20122014464907378, 0.16571332828275867, 0.1634526546102798, 0.15438136248331158, 0.15374224982298423, 0.14600248353181958, 0.16580121141643506]","[163.17518725654375, -77.61204069306538]",2020-12-08T00:00:00,"[0.5107660985167757, 0.4799653735706737, 0.49452527787272854, 0.4262489177219674, 0.019596897428641992, 0.01897649276548826, 0.4784270120519986]","[163.17537161413546, -77.5996182219057]",97,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,"[0.20667501651131148, 0.1714916590532913, 0.16780173357999237, 0.1599431229169512, 0.15920448462384756, 0.15025320360558614, 0.16803869477150069]","[163.17518725654375, -77.61204069306538]",2020-12-10T00:00:00,"[0.5329072132931151, 0.5091215474715419, 0.5269127877956546, 0.4576242679088118, 0.016287521115665858, 0.015661880402584715, 0.509950485747212]","[163.17537161413546, -77.5996182219057]",98,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,"[0.27868192299957534, 0.24293153981838142, 0.24113778770070735, 0.2287913457588342, 0.16616026966048292, 0.15208959327671107, 0.24549003208509307]","[163.17518725654375, -77.61204069306538]",2020-12-14T00:00:00,"[0.43556519764338425, 0.3849142591527697, 0.36747486391113254, 0.30064442261079943, 0.055572878062708955, 0.05171507883621392, 0.3734267049987979]","[163.17537161413546, -77.5996182219057]",99,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,"[0.21115222675390027, 0.17657363225463307, 0.16985018091301607, 0.15737228171030138, 0.13611918571094836, 0.1277369612764015, 0.17528655057402429]","[163.17518725654375, -77.61204069306538]",2020-12-15T00:00:00,"[0.543921956205906, 0.5250388399450113, 0.5430914751984495, 0.47030652893265307, 0.03411728835114554, 0.03326415523089321, 0.526072292601802]","[163.17537161413546, -77.5996182219057]",100,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,"[0.2294691968186334, 0.19856056168111946, 0.19299434681432392, 0.18230247074806308, 0.16444408112088188, 0.15236854062229238, 0.1966687272930471]","[163.17518725654375, -77.61204069306538]",2020-12-21T00:00:00,"[0.47732353052588117, 0.46231456181784103, 0.4685939540956303, 0.4013235562476393, 0.02564195805098303, 0.023183301676251735, 0.4492243357296208]","[163.17537161413546, -77.5996182219057]",101,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,"[0.20038622367436876, 0.1683788213346902, 0.16563151654722666, 0.15957700214342116, 0.16670050855612864, 0.15599056677381878, 0.1678547133063944]","[163.17518725654375, -77.61204069306538]",2020-12-24T00:00:00,"[0.4568146417937675, 0.4383067444473271, 0.45414278334028424, 0.3932905304907915, 0.015443173909728354, 0.013520525912304024, 0.42823816890145033]","[163.17537161413546, -77.5996182219057]",102,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,"[0.20121551091814693, 0.16628914096052558, 0.1627717464245003, 0.15559698858925905, 0.16168701401149063, 0.1516515735254827, 0.16554889544771043]","[163.17518725654375, -77.61204069306538]",2020-12-26T00:00:00,"[0.4335152881506786, 0.4037663403229733, 0.4103278432308955, 0.3365983846710949, 0.01340589507997467, 0.01190224757046665, 0.3904237781019759]","[163.17537161413546, -77.5996182219057]",103,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,"[0.201384313987684, 0.1648666814906038, 0.16055651296562404, 0.15391524374255192, 0.15905678950122631, 0.1502537226484213, 0.16201952293838776]","[163.17518725654375, -77.61204069306538]",2020-12-30T00:00:00,"[0.4204737931443633, 0.3852035345322264, 0.39022826059719445, 0.3229280959656976, 0.01408750954202456, 0.012201153149838507, 0.3720657039557298]","[163.17537161413546, -77.5996182219057]",104,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,"[0.1999780718326116, 0.16464641082938397, 0.16044257768317485, 0.15352269836681856, 0.16070088413944988, 0.14953097648052258, 0.1629406314731039]","[163.17518725654375, -77.61204069306538]",2021-01-06T00:00:00,"[0.3971249648956229, 0.3636947059766657, 0.36845530631469564, 0.29464860064066317, 0.012961990511011259, 0.01076071252479458, 0.34970415046763376]","[163.17537161413546, -77.5996182219057]",105,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,"[0.2947550613337615, 0.25840174920389736, 0.26035833847036477, 0.25151674708498023, 0.1565429246861888, 0.14923734289399262, 0.25761277383068754]","[163.17518725654375, -77.61204069306538]",2021-01-13T00:00:00,"[0.41533673012766453, 0.3796924039299652, 0.38540343625844625, 0.3385701056034467, 0.08817531350283003, 0.08588207507103685, 0.3709465572136687]","[163.17537161413546, -77.5996182219057]",106,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,"[0.20482298218231434, 0.16775823530430378, 0.1612146631138239, 0.15184548315358065, 0.15586994710443042, 0.14670780410158898, 0.16608187016083312]","[163.17518725654375, -77.61204069306538]",2021-01-16T00:00:00,"[0.39898313020872145, 0.3724949298058157, 0.37500195132825076, 0.30817060982703387, 0.016016181643945804, 0.013885189955664597, 0.3591957080908685]","[163.17537161413546, -77.5996182219057]",107,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,"[0.3009918931795297, 0.26881733822990295, 0.27603844266609373, 0.27344230892314214, 0.20361903679049925, 0.1906992461322439, 0.274418671417162]","[163.17518725654375, -77.61204069306538]",2021-01-18T00:00:00,"[0.4752964141638519, 0.44706606806133997, 0.46157656740791114, 0.40373091336746714, 0.08611064011811341, 0.08460254378455223, 0.4411188937785553]","[163.17537161413546, -77.5996182219057]",108,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,"[0.2036260868863873, 0.16500469203679272, 0.15853323177161396, 0.1500967729581931, 0.15594131011811455, 0.14624351165674138, 0.16307319059331943]","[163.17518725654375, -77.61204069306538]",2021-01-22T00:00:00,"[0.35164297740529193, 0.31567302716820556, 0.3117394224106238, 0.24237409205555424, 0.017837748568575267, 0.014147312694296072, 0.29664140608083406]","[163.17537161413546, -77.5996182219057]",109,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,"[0.19896544308944006, 0.15890246199805924, 0.15215053980517254, 0.14214517257294712, 0.14773390602756642, 0.13717171903703412, 0.1576888169159644]","[163.17518725654375, -77.61204069306538]",2021-02-01T00:00:00,"[0.34680549935000754, 0.31051959236419946, 0.30727933144965647, 0.24024527558852882, 0.016948378084145763, 0.014383172561745447, 0.29656264905844676]","[163.17537161413546, -77.5996182219057]",110,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,"[0.28389244197162156, 0.24733556111324367, 0.24010933864780326, 0.2217171380311091, 0.12944866282971113, 0.12378435002880926, 0.24647464584789766]","[163.17518725654375, -77.61204069306538]",2021-10-31T00:00:00,"[0.6425911123370345, 0.6276037598870815, 0.6487902912503363, 0.5923957590251088, 0.042871556190613884, 0.04531710529427465, 0.6419298713911661]","[163.17537161413546, -77.5996182219057]",111,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,"[0.2933891568125517, 0.2559290946029902, 0.25032408947648843, 0.2323418708479969, 0.13582951900494608, 0.12851288715097853, 0.2543571181234967]","[163.17518725654375, -77.61204069306538]",2021-11-04T00:00:00,"[0.6331499994393095, 0.6175056523458754, 0.6367688246993035, 0.5759790018739496, 0.043388708116877166, 0.043910607113793944, 0.6263564125878305]","[163.17537161413546, -77.5996182219057]",112,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,"[0.2639297003462342, 0.2293008417112856, 0.2215734783673185, 0.20752783017266402, 0.13097564564710504, 0.12411210158888834, 0.22472419624987278]","[163.17518725654375, -77.61204069306538]",2021-11-09T00:00:00,"[0.6054356451651011, 0.5894682627438322, 0.6075038656186642, 0.5472944449125193, 0.038285152089993654, 0.039225615866436456, 0.602588730493548]","[163.17537161413546, -77.5996182219057]",113,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,"[0.27862608170792375, 0.2448186098214843, 0.2390611953048061, 0.22196615868308087, 0.14052539819016518, 0.13326729885285787, 0.2424187887670916]","[163.17518725654375, -77.61204069306538]",2021-11-11T00:00:00,"[0.6255881853819973, 0.6127659097594769, 0.6283461140640748, 0.5613901959396795, 0.039865389309607556, 0.0405016781062665, 0.6208378219594829]","[163.17537161413546, -77.5996182219057]",114,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,"[0.2848367523057998, 0.24787696521357025, 0.24787385890458524, 0.23280832589051642, 0.14604728792457694, 0.13765292327924383, 0.24052058551708713]","[163.17518725654375, -77.61204069306538]",2021-11-15T00:00:00,"[0.5845570896281704, 0.5570244704454413, 0.5755831101993218, 0.5207982367780126, 0.049651906556228885, 0.04924632740525345, 0.569505199253394]","[163.17537161413546, -77.5996182219057]",115,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,"[0.2806333251670935, 0.2545171685273403, 0.25974161962948983, 0.2513426335492331, 0.17467169872678062, 0.1695429265220908, 0.25721707843334285]","[163.17518725654375, -77.61204069306538]",2021-11-20T00:00:00,"[0.6202911972741839, 0.6062247481074544, 0.6346740802351942, 0.5684989252514746, 0.04364368891317423, 0.04338337308650754, 0.6320973311265685]","[163.17537161413546, -77.5996182219057]",116,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,"[0.2717974520546894, 0.23906802232175314, 0.23652445889572435, 0.22762066128994538, 0.16293565523218806, 0.1560787170377481, 0.2348524660732881]","[163.17518725654375, -77.61204069306538]",2021-11-29T00:00:00,"[0.6659388968561331, 0.6460528444554401, 0.6739587514281766, 0.6533579162492695, 0.05851741098776096, 0.061544867952406296, 0.6584303722567801]","[163.17537161413546, -77.5996182219057]",117,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,"[0.24234459937820324, 0.20447507667269754, 0.19999212226783486, 0.18593151556726217, 0.14615249339959085, 0.13847379929682865, 0.20319336405495042]","[163.17518725654375, -77.61204069306538]",2021-12-01T00:00:00,"[0.5800214553795895, 0.5528067339152052, 0.5685205195600234, 0.5130727323827111, 0.036297491129869575, 0.03704548021404072, 0.5624274798490159]","[163.17537161413546, -77.5996182219057]",118,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,"[0.234244707149541, 0.19828778505627712, 0.19527562767990958, 0.1790769927731339, 0.14266437241396945, 0.1355232482746184, 0.20151439338855967]","[163.17518725654375, -77.61204069306538]",2021-12-02T00:00:00,"[0.5827777979845259, 0.5598700484865606, 0.5743955581359432, 0.5110843139768864, 0.03479281392744562, 0.03517170977024853, 0.5669037660475753]","[163.17537161413546, -77.5996182219057]",119,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,"[0.36643839401159506, 0.33515749258971833, 0.3359269239615742, 0.3163443959461676, 0.1500909714592589, 0.14410346210595593, 0.3371243962377605]","[163.17518725654375, -77.61204069306538]",2021-12-04T00:00:00,"[0.5560421926609915, 0.5331603039536038, 0.539311026479415, 0.4778392530882586, 0.09044383388470978, 0.08940118045504773, 0.5361276746126423]","[163.17537161413546, -77.5996182219057]",120,"{""type"":""MultiPoint"",""coordinates"":[]}"
