system:index,brightest_band_means,brightest_geometry,date,dimmest_band_means,dimmest_geometry,image_id,.geo
14,"[0.4499163723948326, 0.41550047052033184, 0.43029975933247394, 0.4307982304123961, 0.2082484963700968, 0.19940323259691295, 0.41592232312150057]","[163.17518725654375, -77.61204069306538]",2017-01-09T00:00:00,"[0.6220642319040344, 0.5915298356163236, 0.6175650208312573, 0.5742838159822691, 0.13540096843094046, 0.13028040539472538, 0.5956244962931112]","[163.17537161413546, -77.5996182219057]",14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,"[0.20425719382805962, 0.16601327028893367, 0.15976904539074765, 0.15048704086133532, 0.1514069036144224, 0.1416593446449652, 0.16369824344408823]","[163.17518725654375, -77.61204069306538]",2017-01-11T00:00:00,"[0.5582401998525827, 0.5289289066114343, 0.5428306096152321, 0.444565660747658, 0.014050819269626168, 0.013194493684570607, 0.5281870487384493]","[163.17537161413546, -77.5996182219057]",15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,"[0.21242517209912648, 0.17634160566687188, 0.17092855520325184, 0.16085079771364552, 0.1431715736647085, 0.13227498724170617, 0.1757744680050623]","[163.17518725654375, -77.61204069306538]",2017-01-14T00:00:00,"[0.5145031475036597, 0.48797467681984824, 0.49279583750459904, 0.37986636764052323, 0.029946792493851494, 0.02829184851917304, 0.483552529869285]","[163.17537161413546, -77.5996182219057]",16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,"[0.20269940946628387, 0.1641561578421714, 0.15825360168311103, 0.14996460822836064, 0.15283546717170285, 0.14276977841710392, 0.16165635936647132]","[163.17518725654375, -77.61204069306538]",2017-01-18T00:00:00,"[0.56044602774662, 0.5310969024113356, 0.5483955716041364, 0.44507581976956356, 0.014589050294159753, 0.013671981585435741, 0.530893214217602]","[163.17537161413546, -77.5996182219057]",17,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,"[0.20283954473480612, 0.1623328072183036, 0.15600484700323256, 0.14759259890362506, 0.15141550264483997, 0.1413553976364696, 0.15981486284473967]","[163.17518725654375, -77.61204069306538]",2017-01-25T00:00:00,"[0.5574248269453023, 0.5282697469372576, 0.5455065992794909, 0.44443300831326754, 0.014003584304110042, 0.013383536834090303, 0.5290717917530531]","[163.17537161413546, -77.5996182219057]",18,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,"[0.20337795742223513, 0.16231929415727683, 0.15559989304662858, 0.1466127786588049, 0.14998750571976213, 0.14025730154599464, 0.15978683008539135]","[163.17518725654375, -77.61204069306538]",2017-01-27T00:00:00,"[0.5470989098235421, 0.5165976607395213, 0.5335944353926061, 0.4379977701294383, 0.014711175893972202, 0.013811081029654943, 0.5164425525542217]","[163.17537161413546, -77.5996182219057]",19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,"[0.19695175721810987, 0.15899873890452929, 0.15144436633317543, 0.14132574821049904, 0.14386788003894072, 0.13427925641882008, 0.1563461906766969]","[163.17518725654375, -77.61204069306538]",2017-01-30T00:00:00,"[0.5508778518611102, 0.5259096619829311, 0.5427700682883568, 0.44548297774090206, 0.016017782797110837, 0.015359611045331335, 0.5261278713114333]","[163.17537161413546, -77.5996182219057]",20,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,"[0.2995467116503239, 0.2513703990170495, 0.25618520577943493, 0.25623494419936743, 0.12671944731106208, 0.12253327238106526, 0.24724829896477102]","[163.17518725654375, -77.61204069306538]",2017-11-04T00:00:00,"[0.5819293179992696, 0.5325231548801692, 0.5629250320798036, 0.5296735871696737, 0.043560720574943576, 0.045895479670344776, 0.5453962735425506]","[163.17537161413546, -77.5996182219057]",21,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,"[0.3304917206523432, 0.28659378613883274, 0.30204881769527175, 0.307195773529021, 0.1437637444044017, 0.13728983755513438, 0.28887446858717114]","[163.17518725654375, -77.61204069306538]",2017-11-07T00:00:00,"[0.6090311077863539, 0.5669409374668504, 0.6152654025701403, 0.596911246249357, 0.10847109153038195, 0.11289360290449235, 0.5830036223430051]","[163.17537161413546, -77.5996182219057]",22,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,"[0.31689274683015106, 0.2757768791816814, 0.28002184709777345, 0.27513475627713035, 0.1347552497825167, 0.1292606612252526, 0.2749142706180501]","[163.17518725654375, -77.61204069306538]",2017-11-18T00:00:00,"[0.6370910840754203, 0.6102707298267016, 0.6417363970861685, 0.6005110233653662, 0.051487433140998386, 0.053278616798740734, 0.6170676724225009]","[163.17537161413546, -77.5996182219057]",23,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,"[0.3256610062729074, 0.2823620831340234, 0.28521261430194705, 0.2834551862871858, 0.1438168165456222, 0.13651812322468507, 0.27992612355932567]","[163.17518725654375, -77.61204069306538]",2017-11-20T00:00:00,"[0.5756783051214043, 0.5363701854446564, 0.5580240902840452, 0.5113939554673113, 0.051474908074207626, 0.050533521107729754, 0.5413038099378309]","[163.17537161413546, -77.5996182219057]",24,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,"[0.27844334320005, 0.2391031573738933, 0.24132653473719104, 0.23341065988641121, 0.13539847717982362, 0.1292113259390348, 0.23933764571553431]","[163.17518725654375, -77.61204069306538]",2017-11-21T00:00:00,"[0.601319032503571, 0.5730931143705592, 0.5982850545339107, 0.5413356752288833, 0.04231588453689697, 0.042604972141687965, 0.5822529087283466]","[163.17537161413546, -77.5996182219057]",25,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,"[0.26081594377141243, 0.2256340704712647, 0.22557730180181942, 0.21692779768684958, 0.1432698960249385, 0.13632070517448047, 0.22140392205179404]","[163.17518725654375, -77.61204069306538]",2017-11-25T00:00:00,"[0.5467028970267674, 0.5285248709171176, 0.5433510071896562, 0.4545976065029268, 0.02201324548620375, 0.02182809117536884, 0.5329969540599809]","[163.17537161413546, -77.5996182219057]",26,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,"[0.24805647435162803, 0.21415616083832992, 0.2110594873476163, 0.20439787546610833, 0.1438127925718644, 0.13627418629088772, 0.2116884003269054]","[163.17518725654375, -77.61204069306538]",2017-11-27T00:00:00,"[0.5282724161166916, 0.5064490996303691, 0.5209555854532221, 0.4403375974257857, 0.022833143020814253, 0.022801008814694504, 0.5104434187408557]","[163.17537161413546, -77.5996182219057]",27,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,"[0.32299503281048264, 0.28977921021885394, 0.29354552841675186, 0.28369022107596864, 0.15703268950136134, 0.14991120391008797, 0.2873713684297338]","[163.17518725654375, -77.61204069306538]",2017-11-30T00:00:00,"[0.5201042616869113, 0.4910471589490696, 0.5027546458438107, 0.43780963229864056, 0.0837486766685981, 0.08260909756324024, 0.49514830455966247]","[163.17537161413546, -77.5996182219057]",28,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,"[0.22820365668020504, 0.19418994238184212, 0.19377077168124224, 0.18624743609876598, 0.15079439803529535, 0.14341403776795517, 0.18992546935176]","[163.17518725654375, -77.61204069306538]",2017-12-02T00:00:00,"[0.5045143493236168, 0.4783709588489632, 0.4895757072665033, 0.4014081188463921, 0.019026846462129165, 0.01861866221201103, 0.48146006409787345]","[163.17537161413546, -77.5996182219057]",29,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,"[0.24379031289690667, 0.20492075092957981, 0.20335024695253529, 0.18936873418826136, 0.13470234420307506, 0.12709018221559829, 0.20522314976357256]","[163.17518725654375, -77.61204069306538]",2017-12-07T00:00:00,"[0.48324792740973377, 0.4532284523923528, 0.4587396317140919, 0.37776696075499755, 0.03318945238510564, 0.031050719076884722, 0.4547000006520821]","[163.17537161413546, -77.5996182219057]",30,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,"[0.21014814264379345, 0.17389209472539582, 0.17091148274540607, 0.16264383295069748, 0.14645402119705705, 0.13728775395891749, 0.1695263178690614]","[163.17518725654375, -77.61204069306538]",2017-12-16T00:00:00,"[0.614374965640727, 0.5847189902300833, 0.6125118491875304, 0.583634318322654, 0.03959596593255859, 0.04113184360077627, 0.5909740229722866]","[163.17537161413546, -77.5996182219057]",31,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,"[0.21401976406481515, 0.175911077277623, 0.17133824385842217, 0.16322516161034442, 0.14961184281433723, 0.14146190466939984, 0.1727501122617499]","[163.17518725654375, -77.61204069306538]",2017-12-23T00:00:00,"[0.679676161771787, 0.6409794582312883, 0.6789029993911697, 0.6655140215420625, 0.05938776971746011, 0.062109449395212596, 0.6506493618927904]","[163.17537161413546, -77.5996182219057]",32,"{""type"":""MultiPoint"",""coordinates"":[]}"
