system:index,brightest_band_means,brightest_geometry,date,dimmest_band_means,dimmest_geometry,image_id,.geo
59,"[0.20764533030675741, 0.1700176267872662, 0.1650622782932396, 0.15657354404494, 0.15187517045160434, 0.14236402464542022, 0.16336788472659272]","[163.17518725654375, -77.61204069306538]",2019-12-03T00:00:00,"[0.4783767714226684, 0.4467850819638312, 0.4563833810051835, 0.37537041140513944, 0.0103601778248702, 0.009437068182585415, 0.44957122374641356]","[163.17537161413546, -77.5996182219057]",59,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,"[0.2234000540521965, 0.18256193605072238, 0.17531787419167225, 0.16444223433008237, 0.14955023163371073, 0.13880562749488196, 0.174253314176285]","[163.17518725654375, -77.61204069306538]",2019-12-17T00:00:00,"[0.6431636187996759, 0.6066632446904178, 0.6346959646162627, 0.6066569733543691, 0.04205822475442521, 0.04287493430216721, 0.6145679953474497]","[163.17537161413546, -77.5996182219057]",60,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,"[0.2080664349617474, 0.1691944806236857, 0.1638513083512343, 0.15506868681914596, 0.1509788779770684, 0.14082096400020508, 0.16383727631470155]","[163.17518725654375, -77.61204069306538]",2019-12-24T00:00:00,"[0.556085174210544, 0.5277326135453547, 0.5469626674142181, 0.4681926012949753, 0.014670159752087937, 0.01381593286831815, 0.5320915895913937]","[163.17537161413546, -77.5996182219057]",61,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,"[0.20374573037334245, 0.16687398134477768, 0.16195827888595687, 0.15295479423782915, 0.15089606289580293, 0.14062560838547097, 0.16102947994999897]","[163.17518725654375, -77.61204069306538]",2019-12-26T00:00:00,"[0.5412441868963154, 0.5154553886496371, 0.534376730320167, 0.45555833036374804, 0.012904353273837373, 0.011891494167172834, 0.5184014415348778]","[163.17537161413546, -77.5996182219057]",62,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,"[0.24702473524631463, 0.2096021688479514, 0.2057412270498321, 0.19473469088531348, 0.12794570585769172, 0.12057162965525116, 0.20555193739448444]","[163.17518725654375, -77.61204069306538]",2019-12-31T00:00:00,"[0.4908902780361089, 0.4590805019647044, 0.46921432707749433, 0.41692902059446507, 0.06305702331231716, 0.06184969114740317, 0.46308707453679504]","[163.17537161413546, -77.5996182219057]",63,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,"[0.2120690920113062, 0.17611705713487172, 0.16925441595804747, 0.1580633530853766, 0.15072092423779054, 0.1390285068963281, 0.16620935285111468]","[163.17518725654375, -77.61204069306538]",2020-01-02T00:00:00,"[0.5293534082883935, 0.5065425977541502, 0.5232531818170082, 0.45529071172585095, 0.014141328555307715, 0.013217492740705153, 0.5097470298089956]","[163.17537161413546, -77.5996182219057]",64,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,"[0.2115978996680124, 0.17332733673378853, 0.1684006545437925, 0.15818554691845604, 0.14689691667406513, 0.1367732216377432, 0.16431499417108306]","[163.17518725654375, -77.61204069306538]",2020-01-11T00:00:00,"[0.5684415883337957, 0.5367561853023749, 0.5636614816371932, 0.5336695422883305, 0.031129775363774342, 0.03183685311607272, 0.5408289605211152]","[163.17537161413546, -77.5996182219057]",65,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,"[0.20617483569529219, 0.16543585025565782, 0.1594150497952635, 0.15054328610953902, 0.14646198920629896, 0.1360785851046381, 0.15957439830469322]","[163.17518725654375, -77.61204069306538]",2020-01-20T00:00:00,"[0.5022764138742284, 0.46997890330395564, 0.48635815146223704, 0.42686716958970505, 0.019258757455286393, 0.018754348323154455, 0.47302856178827585]","[163.17537161413546, -77.5996182219057]",66,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,"[0.2895835516138666, 0.25130396646573144, 0.24434340105997543, 0.22698515444652656, 0.12241759276796432, 0.11689086931118185, 0.24480992442651298]","[163.17518725654375, -77.61204069306538]",2020-10-30T00:00:00,"[0.6039759727661562, 0.5784091961328971, 0.5812109653551382, 0.49550681675926583, 0.03350528956713868, 0.034695991924775835, 0.5814958226410809]","[163.17537161413546, -77.5996182219057]",67,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,"[0.24877892762344622, 0.21677913009685007, 0.21030889933337968, 0.19395399643278183, 0.13973304350558993, 0.1323551455864321, 0.21293211340542303]","[163.17518725654375, -77.61204069306538]",2020-11-15T00:00:00,"[0.5843180608570863, 0.564440236423613, 0.5610616053518014, 0.46899724940613663, 0.031587122615119936, 0.031687785371622916, 0.5630717591449192]","[163.17537161413546, -77.5996182219057]",68,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,"[0.25757237955886203, 0.22403761171646372, 0.21669291629036805, 0.2010224076907808, 0.14432691853037355, 0.13656903739765414, 0.21377960934388004]","[163.17518725654375, -77.61204069306538]",2020-11-17T00:00:00,"[0.5865785863140818, 0.5624605462009289, 0.5568224188510921, 0.46275254953681194, 0.030281658456106125, 0.030105543256568213, 0.5609206596788624]","[163.17537161413546, -77.5996182219057]",69,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,"[0.24724713466414483, 0.21187532585399005, 0.2053335619136899, 0.1911008823688192, 0.1456066825405755, 0.13766169608549497, 0.2061422477789371]","[163.17518725654375, -77.61204069306538]",2020-11-19T00:00:00,"[0.5683244917746418, 0.5398489274419531, 0.5415125923126554, 0.45475477936127817, 0.029326969851808247, 0.029205320551249823, 0.5414768112722821]","[163.17537161413546, -77.5996182219057]",70,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,"[0.2424923289788619, 0.21047803116800776, 0.2034866492426541, 0.1889196988647027, 0.1495258270378177, 0.14097062878105301, 0.20254297720718364]","[163.17518725654375, -77.61204069306538]",2020-11-24T00:00:00,"[0.5810274176463807, 0.5624345611094481, 0.5639194053805644, 0.47064858766821766, 0.02839235087394925, 0.028049643249291146, 0.5639841252619696]","[163.17537161413546, -77.5996182219057]",71,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,"[0.23127055184949097, 0.1977480744447112, 0.19256385541278997, 0.1806156460006419, 0.14977305281997907, 0.14108694783928236, 0.19381714089806826]","[163.17518725654375, -77.61204069306538]",2020-11-26T00:00:00,"[0.5637857860797647, 0.5426930381131954, 0.5475870210108168, 0.45502412887572147, 0.024603018136913207, 0.024133714056316057, 0.5424426427888566]","[163.17537161413546, -77.5996182219057]",72,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,"[0.22330643508841866, 0.18715235758414367, 0.18196727476101873, 0.1723656375962812, 0.14815439936588276, 0.13871939065256284, 0.1806699003643866]","[163.17518725654375, -77.61204069306538]",2020-11-29T00:00:00,"[0.5602347031923555, 0.5288890584726584, 0.5374454911888421, 0.4489225851816583, 0.022598750892242052, 0.021977546762270515, 0.5351301626953271]","[163.17537161413546, -77.5996182219057]",73,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,"[0.21458072317333862, 0.18312954879356752, 0.17686397590422417, 0.16533109296884696, 0.14827999940723385, 0.13935319169521307, 0.17781268681660187]","[163.17518725654375, -77.61204069306538]",2020-12-01T00:00:00,"[0.5446929373854219, 0.5261108576839169, 0.5331471035689358, 0.4461101988347903, 0.021342983713393535, 0.020587854175519334, 0.5247596600683198]","[163.17537161413546, -77.5996182219057]",74,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,"[0.22195381718334484, 0.18665548817864597, 0.18171759697614226, 0.17041561424115853, 0.15412793701350158, 0.1456653530303148, 0.18027092291025806]","[163.17518725654375, -77.61204069306538]",2020-12-03T00:00:00,"[0.5593396521556027, 0.5281679762706424, 0.5407224939188031, 0.458171599101035, 0.023468268337813493, 0.02305296273440556, 0.5324169777731886]","[163.17537161413546, -77.5996182219057]",75,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,"[0.20484162594147803, 0.16995059201286083, 0.16700294931417875, 0.15865562155237634, 0.1529984833972137, 0.1440920800330759, 0.16633920039977457]","[163.17518725654375, -77.61204069306538]",2020-12-08T00:00:00,"[0.5213512841206442, 0.48858879260528165, 0.5005594730230215, 0.42003797148882416, 0.018234575038661372, 0.017584080009548156, 0.49468275341912893]","[163.17537161413546, -77.5996182219057]",76,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,"[0.21276004521068875, 0.1781367787133691, 0.17470386889239803, 0.1653389519837907, 0.15561286387908813, 0.1467343847331354, 0.169020966934345]","[163.17518725654375, -77.61204069306538]",2020-12-10T00:00:00,"[0.5492817196394884, 0.5240243622580064, 0.5391707893943722, 0.4582569663429196, 0.014879871103385494, 0.014196801373897346, 0.5292248510204499]","[163.17537161413546, -77.5996182219057]",77,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,"[0.21569312165857205, 0.1816123407774737, 0.1748568805234563, 0.16269191046093584, 0.1351572319403415, 0.12694099739475664, 0.17691283596206284]","[163.17518725654375, -77.61204069306538]",2020-12-15T00:00:00,"[0.5613744967314255, 0.5406682178079211, 0.5563836027399114, 0.47584114228804736, 0.03376143333805907, 0.0331534613003961, 0.5529699852284612]","[163.17537161413546, -77.5996182219057]",78,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,"[0.23009826096227912, 0.1994476532687586, 0.19389935062856267, 0.18259735889474174, 0.16181744871520592, 0.14961211326500906, 0.19574602833990548]","[163.17518725654375, -77.61204069306538]",2020-12-21T00:00:00,"[0.5077499399996305, 0.49218144952270426, 0.4993183465429569, 0.42774327288472547, 0.025046147393385974, 0.022898602586941885, 0.4923117065133573]","[163.17537161413546, -77.5996182219057]",79,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,"[0.2005329288092777, 0.16861588846142178, 0.1655480122719952, 0.15961646009239375, 0.16502069860291874, 0.1537379071870755, 0.16630091525621649]","[163.17518725654375, -77.61204069306538]",2020-12-24T00:00:00,"[0.49149464305474677, 0.4738449139040874, 0.4915631821302495, 0.4267955862996852, 0.015112174354858607, 0.013597561043484366, 0.4842501640314447]","[163.17537161413546, -77.5996182219057]",80,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,"[0.29521829498309765, 0.2592384108191418, 0.26105860232765776, 0.2516595685415194, 0.15489242612893642, 0.14736907189991824, 0.25763444907930355]","[163.17518725654375, -77.61204069306538]",2021-01-13T00:00:00,"[0.4371164280504361, 0.4014748755135659, 0.40733810445851737, 0.3560073347381051, 0.08790017535935608, 0.08574796588741612, 0.40565155873896463]","[163.17537161413546, -77.5996182219057]",81,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,"[0.20496890241654275, 0.16738879157007805, 0.16116452715643922, 0.1504847380586371, 0.1533334333762367, 0.1431040641985457, 0.16457137086441823]","[163.17518725654375, -77.61204069306538]",2021-01-16T00:00:00,"[0.43618747299174143, 0.4092630460328224, 0.4156018920045391, 0.3417695925122322, 0.015805061607991666, 0.014052710650992926, 0.4209033357581028]","[163.17537161413546, -77.5996182219057]",82,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,"[0.3016514006629105, 0.2701652347512982, 0.27733228314011377, 0.2736100943194528, 0.20046408838967686, 0.18758891779277334, 0.2737788865561381]","[163.17518725654375, -77.61204069306538]",2021-01-18T00:00:00,"[0.504942527509175, 0.4786699587315168, 0.4935846989382026, 0.4297767919074167, 0.0859832142634065, 0.0845496604828011, 0.4892460427103058]","[163.17537161413546, -77.5996182219057]",83,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,"[0.20353349620857597, 0.1641278458457902, 0.156683702969761, 0.14735703588080293, 0.1515463953056961, 0.14185403794351228, 0.16109826278868564]","[163.17518725654375, -77.61204069306538]",2021-01-22T00:00:00,"[0.3903152460795153, 0.3552072868309024, 0.35281514499387007, 0.2747019257516218, 0.014963832892598727, 0.012318450958166858, 0.35442596593035924]","[163.17537161413546, -77.5996182219057]",84,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,"[0.19900042236265175, 0.1589330885408481, 0.151322162462287, 0.1411667506629288, 0.1441321429001251, 0.13415628665173587, 0.1553447261754129]","[163.17518725654375, -77.61204069306538]",2021-02-01T00:00:00,"[0.37260491195025947, 0.3354682856320123, 0.3302715198847884, 0.2565942911444469, 0.01500387287343023, 0.013049452773871758, 0.3455506395013645]","[163.17537161413546, -77.5996182219057]",85,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,"[0.2977069748527648, 0.2613611227987577, 0.2532095662844343, 0.2354581368406868, 0.1243413657628157, 0.11906056624822685, 0.26100957415908166]","[163.17518725654375, -77.61204069306538]",2021-10-31T00:00:00,"[0.6177958819859586, 0.5993951439590408, 0.6114839440196472, 0.5443716121251194, 0.03985121789674955, 0.04168228586508368, 0.6127116628970555]","[163.17537161413546, -77.5996182219057]",86,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,"[0.3022964360252273, 0.2642399749812978, 0.2584520258502376, 0.2395304611798363, 0.12964892404612902, 0.1230085030513661, 0.26610029185578304]","[163.17518725654375, -77.61204069306538]",2021-11-04T00:00:00,"[0.6112956925502911, 0.5926263650913823, 0.604703327714886, 0.5337600849943689, 0.040438660031933873, 0.040613829273271985, 0.6024390839492203]","[163.17537161413546, -77.5996182219057]",87,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,"[0.2769592542022222, 0.24236180065313667, 0.23769326649500297, 0.2199759240270245, 0.12646190277658978, 0.11973170458506313, 0.24239339401026264]","[163.17518725654375, -77.61204069306538]",2021-11-09T00:00:00,"[0.5730027242667318, 0.5523753216047019, 0.5572262944293065, 0.4845678155265838, 0.035079892178472474, 0.035486811316200094, 0.5583257048536132]","[163.17537161413546, -77.5996182219057]",88,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,"[0.288291166724611, 0.25517685268877527, 0.2501138787235444, 0.23130549292513228, 0.1350837100063059, 0.12814341169589177, 0.2559764336780169]","[163.17518725654375, -77.61204069306538]",2021-11-11T00:00:00,"[0.596320514849705, 0.5803802624330038, 0.5859159555065359, 0.5066660220584909, 0.03688033540625806, 0.0372294305970753, 0.5877914191138401]","[163.17537161413546, -77.5996182219057]",89,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,"[0.28283004942761475, 0.2576652563814754, 0.2618099078784635, 0.25127267091996025, 0.16807240142418986, 0.16337381184811509, 0.25945749138954066]","[163.17518725654375, -77.61204069306538]",2021-11-20T00:00:00,"[0.5972978384744724, 0.5802812828708045, 0.5969691061204249, 0.5160685938685273, 0.03893596353803347, 0.038466524862433446, 0.6002188847949945]","[163.17537161413546, -77.5996182219057]",90,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,"[0.23975371428275918, 0.20542458385505935, 0.20166501775036816, 0.18498997362812358, 0.13826723954087894, 0.1311424247461165, 0.20611873209193374]","[163.17518725654375, -77.61204069306538]",2021-12-02T00:00:00,"[0.5638617513185373, 0.5387691271312971, 0.5461930453829295, 0.47330406958926435, 0.0320588365081288, 0.03246398164316251, 0.5459601686717303]","[163.17537161413546, -77.5996182219057]",91,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,"[0.3687614953349136, 0.33882525184473644, 0.3390884632201312, 0.3179141951502434, 0.14771060815702663, 0.14194050428899918, 0.3389628738972065]","[163.17518725654375, -77.61204069306538]",2021-12-04T00:00:00,"[0.5455300202988946, 0.5210613104258035, 0.523843609404464, 0.45635266934674956, 0.08956292737339781, 0.08843153562169681, 0.524050139502196]","[163.17537161413546, -77.5996182219057]",92,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,"[0.23705263349525235, 0.20554071400712895, 0.19920112026226175, 0.18240966104237744, 0.14414746852571308, 0.1348378181057298, 0.20141754572480447]","[163.17518725654375, -77.61204069306538]",2021-12-06T00:00:00,"[0.5266560732106627, 0.5065306629963725, 0.5064934897834339, 0.4136430653985008, 0.022383684269945883, 0.021731251359674436, 0.5111201241058118]","[163.17537161413546, -77.5996182219057]",93,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,"[0.2322671617438581, 0.20172876772331716, 0.19587178005131062, 0.17833551986346066, 0.14330688463417873, 0.13475483392604945, 0.1984733505640977]","[163.17518725654375, -77.61204069306538]",2021-12-08T00:00:00,"[0.511042389418564, 0.49127455949299365, 0.49006564769318844, 0.394636751699135, 0.019072787357831498, 0.018264519053392037, 0.4939977576755007]","[163.17537161413546, -77.5996182219057]",94,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,"[0.21125764371077252, 0.17508924565128686, 0.16876121227090204, 0.15440685639419544, 0.11941119539819489, 0.11257256550904905, 0.16934028916412772]","[163.17518725654375, -77.61204069306538]",2021-12-11T00:00:00,"[0.45611689864389987, 0.4231693308088069, 0.42748854014707355, 0.3502044137531993, 0.01554764030674947, 0.014593222800081995, 0.426514098466839]","[163.17537161413546, -77.5996182219057]",95,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,"[0.20325207392552058, 0.16836033303855102, 0.16341156853348304, 0.15413061650494816, 0.14723957055577688, 0.1380899226189441, 0.16330410631973577]","[163.17518725654375, -77.61204069306538]",2021-12-18T00:00:00,"[0.5022447887875638, 0.4739537607263746, 0.48721000252926366, 0.42029276589513714, 0.014026765731854737, 0.01291026825348718, 0.47819377135947977]","[163.17537161413546, -77.5996182219057]",96,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,"[0.19877291102279576, 0.16396449220326714, 0.1595805727121659, 0.15052260764985306, 0.1445317843067626, 0.13526075822817027, 0.15936309517022962]","[163.17518725654375, -77.61204069306538]",2021-12-20T00:00:00,"[0.4306178529214217, 0.40109907035680215, 0.41113961502236146, 0.3555072154881695, 0.01612609410484554, 0.013588268163886235, 0.40162371588784673]","[163.17537161413546, -77.5996182219057]",97,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,"[0.208031616886643, 0.1698258892039881, 0.16348049035560963, 0.1531511945775121, 0.14890333328234928, 0.13784371402602758, 0.16460798478812386]","[163.17518725654375, -77.61204069306538]",2021-12-22T00:00:00,"[0.4638377510113591, 0.4330029435234205, 0.44301556667965936, 0.38149184484275744, 0.016769147079585957, 0.014777069085961297, 0.4318115933530868]","[163.17537161413546, -77.5996182219057]",98,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,"[0.21014452469412695, 0.1764596879946321, 0.17148939534342275, 0.16113762844313712, 0.15158554166924945, 0.1416020643011497, 0.17035519929160026]","[163.17518725654375, -77.61204069306538]",2021-12-24T00:00:00,"[0.46861181097780175, 0.44533744362789185, 0.45518779486397165, 0.3907234925259484, 0.020285757683599328, 0.018029651274052136, 0.44683105953904156]","[163.17537161413546, -77.5996182219057]",99,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,"[0.29613788291858073, 0.2574728290921713, 0.2559370631290756, 0.24452852623203308, 0.16105817138336181, 0.1512681110359906, 0.25525727176616464]","[163.17518725654375, -77.61204069306538]",2022-01-05T00:00:00,"[0.45083107669988093, 0.4181592479297547, 0.42513138845738124, 0.37953202042085504, 0.05890282887520799, 0.05618429328454576, 0.42032241569179685]","[163.17537161413546, -77.5996182219057]",100,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,"[0.21008236751855755, 0.17283079359639764, 0.16623845296899092, 0.15453431171006993, 0.1499132513013942, 0.14067161526847546, 0.1666639733683426]","[163.17518725654375, -77.61204069306538]",2022-01-07T00:00:00,"[0.4492474568815793, 0.4192280919887828, 0.4233346808258902, 0.3536219794208065, 0.019410929536554537, 0.01823151122337932, 0.420436990562928]","[163.17537161413546, -77.5996182219057]",101,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,"[0.21708367864837352, 0.17909016130797745, 0.17072767902761501, 0.15660910186345964, 0.1433995487476661, 0.13475600526070067, 0.1708169510144547]","[163.17518725654375, -77.61204069306538]",2022-01-12T00:00:00,"[0.535445977692367, 0.5098808720334613, 0.5306150053575106, 0.5038106452745484, 0.03996060511287591, 0.04076412045028152, 0.516131413378895]","[163.17537161413546, -77.5996182219057]",102,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,"[0.21138182756084997, 0.17286903176548626, 0.1656990532808123, 0.15266387014985391, 0.14554106817836435, 0.13635904984402264, 0.16560270058754703]","[163.17518725654375, -77.61204069306538]",2022-01-14T00:00:00,"[0.4954188158674296, 0.4613701727092169, 0.47371452806967673, 0.4242754047036627, 0.027251279442452495, 0.02689704198808224, 0.4618568450837151]","[163.17537161413546, -77.5996182219057]",103,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,"[0.20502360064694108, 0.16670931548719584, 0.1603531485438171, 0.14878345479160235, 0.14631589044416368, 0.13752754132152248, 0.15936716554959823]","[163.17518725654375, -77.61204069306538]",2022-01-16T00:00:00,"[0.4624180420984473, 0.4273911697561319, 0.43639840680943526, 0.3755337232832222, 0.0220975275832146, 0.02142430167252331, 0.4273643471085285]","[163.17537161413546, -77.5996182219057]",104,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,"[0.2622911184770851, 0.2219684975146782, 0.21794347430771943, 0.20639737745824852, 0.1416292717736269, 0.13137607933502624, 0.21888407945738642]","[163.17518725654375, -77.61204069306538]",2022-01-19T00:00:00,"[0.41491605390503045, 0.38250804130638066, 0.3852634890557797, 0.33370897617156675, 0.05166249472743242, 0.04726745066472244, 0.3803756706941126]","[163.17537161413546, -77.5996182219057]",105,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,"[0.20416360618047444, 0.16552481020007911, 0.1571926549589909, 0.14552800611719055, 0.14440949983592702, 0.13480008803384153, 0.15920825023094898]","[163.17518725654375, -77.61204069306538]",2022-01-25T00:00:00,"[0.3762041079989233, 0.34215103766686816, 0.33886177856893557, 0.25968675994139573, 0.017582798096915757, 0.014476179142447823, 0.3423009440224429]","[163.17537161413546, -77.5996182219057]",106,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,"[0.2045463301429751, 0.16554691052492004, 0.1564719252431455, 0.14292326071955963, 0.13784900087913937, 0.1277516228264011, 0.15804664973115484]","[163.17518725654375, -77.61204069306538]",2022-01-28T00:00:00,"[0.3837841747618402, 0.3517637656868244, 0.3522778512018877, 0.27982050800603653, 0.01729289755941941, 0.014274562294219228, 0.3556235430442497]","[163.17537161413546, -77.5996182219057]",107,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,"[0.21936730358375714, 0.18487704370187516, 0.17519179924193304, 0.15934173103137383, 0.15309210853878988, 0.14508665815610763, 0.17841859523598996]","[163.17518725654375, -77.61204069306538]",2022-11-14T00:00:00,"[0.4236382233945244, 0.383345429642349, 0.34617594890396153, 0.23239326281717534, 0.04718243965426879, 0.04650237884951549, 0.37085532392662657]","[163.17537161413546, -77.5996182219057]",108,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,"[0.31136216070631423, 0.2780906454494182, 0.272565521536568, 0.2541719829867384, 0.15365772899297925, 0.14695455264351048, 0.2722648358769307]","[163.17518725654375, -77.61204069306538]",2022-11-16T00:00:00,"[0.39497050684821133, 0.3522490841133972, 0.3222833259671811, 0.24016662059007923, 0.08211164331354957, 0.08026661480772287, 0.34160800527652296]","[163.17537161413546, -77.5996182219057]",109,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,"[0.2064222840398928, 0.17552413803534478, 0.16549287198590862, 0.15032216263527085, 0.1490137708445959, 0.14075693651121376, 0.17051737369178274]","[163.17518725654375, -77.61204069306538]",2022-11-19T00:00:00,"[0.3830184038304223, 0.3425711626833092, 0.2888285726760521, 0.15186845599812746, 0.025757073274358003, 0.024310266264345366, 0.3282797387340813]","[163.17537161413546, -77.5996182219057]",110,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,"[0.19819235223737583, 0.1686917934088015, 0.16040962235863515, 0.14663372088426263, 0.1487799555134467, 0.13950581604064846, 0.16397654692778085]","[163.17518725654375, -77.61204069306538]",2022-11-21T00:00:00,"[0.34595755236086373, 0.30651340092285684, 0.2571872357911239, 0.12928691967854414, 0.02031617241425414, 0.01843863860533581, 0.2917536022100964]","[163.17537161413546, -77.5996182219057]",111,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,"[0.26728253617712944, 0.23446971661815114, 0.23006532302652982, 0.21379193062928056, 0.16095313587345714, 0.15022411073841094, 0.2317260390448069]","[163.17518725654375, -77.61204069306538]",2022-11-23T00:00:00,"[0.39600197656962743, 0.3550908110182838, 0.32324391307624445, 0.2122411605341396, 0.06554088831432735, 0.062457770545080275, 0.34414544097786354]","[163.17537161413546, -77.5996182219057]",112,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,"[0.21802530650898377, 0.18303840946731204, 0.1802919167449333, 0.17030915571268893, 0.1583033117684907, 0.1480985734783417, 0.1798472980275684]","[163.17518725654375, -77.61204069306538]",2022-11-28T00:00:00,"[0.4137250653669192, 0.3683330760921164, 0.3462057092146915, 0.22287649660966485, 0.02253222089412392, 0.02113856634012133, 0.3643338812604595]","[163.17537161413546, -77.5996182219057]",113,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,"[0.19058479842099887, 0.15293090447510677, 0.1466065460932094, 0.13552904409430128, 0.13303225731411245, 0.12497242050526533, 0.14953451536036577]","[163.17518725654375, -77.61204069306538]",2022-12-05T00:00:00,"[0.45470974271689574, 0.4113093125129346, 0.40895348429084755, 0.2963351352887595, 0.01044639877048398, 0.009068643814612372, 0.4147379527403007]","[163.17537161413546, -77.5996182219057]",114,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,"[0.28135519076157656, 0.24566610735852099, 0.24761072560510108, 0.23675599470064942, 0.17201340379344657, 0.1590007266494607, 0.24616494410654405]","[163.17518725654375, -77.61204069306538]",2022-12-11T00:00:00,"[0.4977503384686454, 0.46388671024650185, 0.46993424813342227, 0.37867225318733977, 0.05197991798941747, 0.04946770752631619, 0.47047204782370355]","[163.17537161413546, -77.5996182219057]",115,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,"[0.20828258042444153, 0.17328131176845088, 0.1701237837297068, 0.16153809245461126, 0.1577507246213, 0.14693372894856652, 0.16892840099581258]","[163.17518725654375, -77.61204069306538]",2022-12-16T00:00:00,"[0.49493615772675187, 0.45802821352908935, 0.4678051049595033, 0.3954953332361457, 0.017297639654530274, 0.014976863424189989, 0.46730955795654117]","[163.17537161413546, -77.5996182219057]",116,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,"[0.20711793349966504, 0.17126856683595396, 0.16690778266232578, 0.1579005927874105, 0.15662604916490175, 0.1447346959036099, 0.16717817887713557]","[163.17518725654375, -77.61204069306538]",2022-12-18T00:00:00,"[0.4917583576592131, 0.45648724945495717, 0.4631148018636364, 0.3895346822469562, 0.016666551229807217, 0.014913580283335288, 0.46255499771604747]","[163.17537161413546, -77.5996182219057]",117,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,"[0.25331903981317505, 0.2053061839023229, 0.19627699114846534, 0.1808847379300307, 0.11351842945261033, 0.10707615638040288, 0.20527578286160775]","[163.17518725654375, -77.61204069306538]",2023-01-01T00:00:00,"[0.376528436470343, 0.3249672577101008, 0.3128134123345796, 0.25511137705184367, 0.06060989832092927, 0.05698094813610954, 0.3238697673232453]","[163.17537161413546, -77.5996182219057]",118,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,"[0.20487125760621974, 0.17124888945282338, 0.16500445122973878, 0.15374575337184487, 0.1527148095885448, 0.14280431019440418, 0.1656157831006955]","[163.17518725654375, -77.61204069306538]",2023-01-03T00:00:00,"[0.4723985998199543, 0.440769663607164, 0.43799722103614697, 0.34107433368647916, 0.014791469152703011, 0.013415488234296225, 0.44318261101518835]","[163.17537161413546, -77.5996182219057]",119,"{""type"":""MultiPoint"",""coordinates"":[]}"
