system:index,brightest_band_means,brightest_geometry,date,dimmest_band_means,dimmest_geometry,image_id,.geo
13,"[0.21159733930650196, 0.171856098378031, 0.1661268040754182, 0.15547703609941493, 0.14477883579322157, 0.13515615786178042, 0.16384121588752323]","[163.17518725654375, -77.61204069306538]",2017-01-18T00:00:00,"[0.5624152319781122, 0.5319502956875536, 0.5489066387043426, 0.4485164922973938, 0.014834877777951878, 0.013862950542776276, 0.5356965370061068]","[163.17537161413546, -77.5996182219057]",13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,"[0.20905132138915786, 0.16857629267144258, 0.1616651549051582, 0.149960748488703, 0.14346061356200615, 0.13370254821845803, 0.15974122428641768]","[163.17518725654375, -77.61204069306538]",2017-01-25T00:00:00,"[0.5589311869507305, 0.5289680951009732, 0.5454311422293188, 0.4471076616686174, 0.014696288388544539, 0.014089285609370134, 0.5328678459532227]","[163.17537161413546, -77.5996182219057]",14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,"[0.2095341830083998, 0.1674513966732001, 0.16008092415357159, 0.14899656347092588, 0.1422300704981904, 0.1324624033541157, 0.15991636905246387]","[163.17518725654375, -77.61204069306538]",2017-01-27T00:00:00,"[0.5477548521785625, 0.515253620991344, 0.5312689914105189, 0.4390623335572602, 0.01536570570277302, 0.014719241365168159, 0.5197665313408829]","[163.17537161413546, -77.5996182219057]",15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,"[0.20316526511849853, 0.16534806699726223, 0.15710088386372453, 0.1439489412694568, 0.1374334493656969, 0.12824255883683391, 0.15653097464620686]","[163.17518725654375, -77.61204069306538]",2017-01-30T00:00:00,"[0.5512245578677751, 0.5251061704106229, 0.5405372431874185, 0.44581253528128945, 0.01681069387539456, 0.016202349005300012, 0.5291452282642605]","[163.17537161413546, -77.5996182219057]",16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,"[0.3480857616480765, 0.30446558869676615, 0.32072167364948695, 0.3244300102262682, 0.13917586587007286, 0.13281706963926504, 0.3082330673543332]","[163.17518725654375, -77.61204069306538]",2017-11-07T00:00:00,"[0.6046173024047776, 0.559795145919921, 0.6036891076803759, 0.5803967774876889, 0.10693063511151683, 0.11126755465754022, 0.575572893524035]","[163.17537161413546, -77.5996182219057]",17,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,"[0.3358045553891957, 0.29660794425402, 0.30191687854671445, 0.2957338664021036, 0.12802058977004396, 0.12304591037232003, 0.2920228084196286]","[163.17518725654375, -77.61204069306538]",2017-11-18T00:00:00,"[0.6286268531173795, 0.5979753895113924, 0.6221838534735121, 0.5738743323026928, 0.04971708041491627, 0.051196042661752934, 0.608109966945287]","[163.17537161413546, -77.5996182219057]",18,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,"[0.29829110928977465, 0.259173916997086, 0.262332337118053, 0.25430818265580285, 0.1303442828705482, 0.12443204394075248, 0.25839987457574354]","[163.17518725654375, -77.61204069306538]",2017-11-21T00:00:00,"[0.5949037666500475, 0.5635281024076194, 0.5799492876361131, 0.5167176979241742, 0.04081057068028279, 0.04111147947147641, 0.5733027075438151]","[163.17537161413546, -77.5996182219057]",19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,"[0.2762134748187362, 0.24186274025197396, 0.2428851032117686, 0.23165005435670766, 0.13714089087717954, 0.13056819074102902, 0.23589172552297147]","[163.17518725654375, -77.61204069306538]",2017-11-25T00:00:00,"[0.5419232046963008, 0.5204709987486159, 0.528798663128273, 0.4346690781187538, 0.021313111816563136, 0.021147693949326547, 0.5251644606585325]","[163.17537161413546, -77.5996182219057]",20,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,"[0.2618643277755779, 0.22984578763275457, 0.22876422908738858, 0.21877628107009212, 0.13807239183840786, 0.1307681262847891, 0.22502751738190463]","[163.17518725654375, -77.61204069306538]",2017-11-27T00:00:00,"[0.5235780268074949, 0.4986471114474319, 0.506288372662445, 0.4190307136749292, 0.021985581332002496, 0.02182146260111048, 0.5024811490436779]","[163.17537161413546, -77.5996182219057]",21,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,"[0.333501786654715, 0.30034193289782685, 0.3057565526355322, 0.29420711473716726, 0.15436425881127339, 0.14719501326623943, 0.2980025042134309]","[163.17518725654375, -77.61204069306538]",2017-11-30T00:00:00,"[0.5191562223815525, 0.4880547155659025, 0.4958875113489595, 0.42607569869104556, 0.08368759257954463, 0.08243866651117457, 0.4904341759649222]","[163.17537161413546, -77.5996182219057]",22,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,"[0.24225639698461815, 0.20860033833823252, 0.20886601205806257, 0.20010470295981195, 0.1450229258142061, 0.13776351741634102, 0.19908519770338545]","[163.17518725654375, -77.61204069306538]",2017-12-02T00:00:00,"[0.5046548816810581, 0.47632025024017827, 0.48194468788475725, 0.3853375725570242, 0.01845335741131217, 0.01805952750835366, 0.47807593689686717]","[163.17537161413546, -77.5996182219057]",23,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,"[0.25964327004651955, 0.2225660940791629, 0.21920403158787957, 0.20605693885103404, 0.1306485533474654, 0.12297901031284178, 0.22427427479839662]","[163.17518725654375, -77.61204069306538]",2017-12-07T00:00:00,"[0.4897013925186435, 0.45772867791151434, 0.46049475678554264, 0.37315597183269966, 0.03387729403750575, 0.03173180810427818, 0.4589303105534517]","[163.17537161413546, -77.5996182219057]",24,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,"[0.22591445329920892, 0.19028897996293445, 0.18715191767088668, 0.17767395611675368, 0.14237065805430146, 0.13326640714815585, 0.18338178618378456]","[163.17518725654375, -77.61204069306538]",2017-12-16T00:00:00,"[0.6132856314280438, 0.5824811306067298, 0.6082219039931734, 0.5740550627746936, 0.03952126378376721, 0.04098386842177938, 0.5916614953411812]","[163.17537161413546, -77.5996182219057]",25,"{""type"":""MultiPoint"",""coordinates"":[]}"
